hazard,response,n_events,post_mean,ci_low,ci_high,placebo_mean,placebo_sd,placebo_p,n_placebo
heat,price,1,0.12320651073608224,0.12320651073608224,0.12320651073608224,-0.021062427479702713,0.46726105329623374,0.7738853503184714,314
heat,volume,1,0.10300365731800606,0.10300365731800606,0.10300365731800606,-0.0067144816376617,0.4535254357627912,0.6320754716981132,318
rain,price,6,0.23661612050345412,-0.04590551077351414,0.4868228363253861,0.0027727089797656345,0.45827768707638383,0.5871559633027523,327
rain,volume,6,-0.10759684493476773,-0.27960220070479497,0.0034205493512560574,0.05897374407236021,0.6236400158179736,0.6720257234726688,311
