crop,response,beta_per_year,se,p_raw,n,r2,ar1,n_eff,annual_pct,q_fdr,ci_low,ci_high
土豆,price,-0.03069396661524252,0.008866153660948372,0.0005363248812678753,1410,0.0878233516064203,0.9900424690036805,7.055185466388394,-3.069396661524252,0.0013408122031696884,-0.04807162779070133,-0.01331630543978371
土豆,volume,0.05091377947337339,0.006901257671236023,1.6133307128583433e-13,1410,0.34765744534224374,0.9497112673408908,36.368007015751836,5.091377947337339,1.6133307128583432e-12,0.037387314437750785,0.06444024450899599
尖椒,price,-0.00528210320389097,0.027284917554196996,0.8464964692938333,1410,0.00042377657892500586,0.9938238768964355,4.36765437355544,-0.528210320389097,0.8464964692938333,-0.05876054161011708,0.04819633520233514
尖椒,volume,-0.011879997290114575,0.0031698296638878374,0.00017836780736520865,1410,0.060750634003928106,0.8112624921214453,146.9250797531111,-1.1879997290114575,0.0005945593578840289,-0.018092863431334736,-0.005667131148894413
甘蓝,price,-0.04715827453621662,0.02679706903678193,0.07843670742552246,1410,0.036782312193203937,0.9907951399331648,6.519431574799473,-4.715827453621662,0.1664407209697234,-0.0996805298483092,0.005363980775875965
甘蓝,volume,-0.04497545957336746,0.006158330162038686,2.810224322683251e-13,1410,0.35182013147064917,0.910832953434901,65.79619397435353,-4.497545957336746,1.873482881788834e-12,-0.05704578669096329,-0.03290513245577163
芸豆,price,-0.016016188492401384,0.014613295170968469,0.2730782658266171,1410,0.011631517626144783,0.983358407306951,11.83076422836753,-1.6016188492401384,0.4201204089640263,-0.044658247027499584,0.012625870042696812
芸豆,volume,0.0009632174348900291,0.004091470311986168,0.8138821017268356,1410,0.00033420321474264547,0.8519347326107285,112.7318492075369,0.09632174348900291,0.8464964692938333,-0.007056064376602859,0.008982499246382917
芹菜,price,0.005799617447755354,0.015951141567548663,0.7161669162726263,1410,0.0010578069130707801,0.9871487930262506,9.11869402863951,0.5799617447755354,0.7957410180806959,-0.025464620024640026,0.037063854920150734
芹菜,volume,-0.02169988487886615,0.0037649042525181556,8.227586931831475e-09,1410,0.1389818269379257,0.851444806908898,113.13479152973778,-2.1699884878866147,4.113793465915737e-08,-0.029079097213801735,-0.014320672543930563
茄子,price,-0.03903125996181224,0.022531481322405365,0.0832203604848617,1410,0.022866837978283372,0.992095681552926,5.59465547442289,-3.903125996181224,0.1664407209697234,-0.08319296335372675,0.005130443430102279
茄子,volume,0.02312842318820796,0.005112447403051129,6.06979346286008e-06,1410,0.13518655807551494,0.8990933675939351,74.9190925103444,2.312842318820796,2.427917385144032e-05,0.013108026278227746,0.03314882009818817
西红柿,price,0.028134737491847986,0.019872283210895243,0.1568405700781333,1410,0.023317702544633945,0.99237198096711,5.398342748804429,2.8134737491847988,0.2851646728693332,-0.010814937601506688,0.06708441258520266
西红柿,volume,-0.04113231602951184,0.0041373282694052455,2.7394941287815093e-23,1410,0.3359637106911494,0.8785809531293305,91.13307350554072,-4.113231602951184,5.478988257563019e-22,-0.04924147943754612,-0.03302315262147756
青椒,price,-0.0242077310236421,0.02529068009624834,0.33847645291556905,1410,0.009363088977356715,0.9939269768020745,4.294521719550866,-2.42077310236421,0.45130193722075873,-0.07377746401228885,0.025362001965004648
青椒,volume,0.0029099431581213753,0.0039573584708910755,0.46214181075534144,1410,0.002361059143858646,0.8214977555194052,138.17648907608404,0.2909943158121375,0.5776772634441768,-0.004846479444825132,0.010666365761067883
韭菜,price,0.031161557377295673,0.024116466321845276,0.19631287837443856,1410,0.01979779327806408,0.9926197973180245,5.222313757793405,3.116155737729567,0.32718813062406427,-0.016106716613521067,0.07842983136811241
韭菜,volume,-0.004085106912657566,0.00610203367815126,0.5031979661410338,1410,0.0034610391524466655,0.8519346942485422,112.73188075040021,-0.40851069126575656,0.5919976072247457,-0.016045092921834037,0.007874879096518904
黄瓜,price,0.023627265664185354,0.024198845786501937,0.3288762581003746,1410,0.009335520414097909,0.9876566406737753,8.756108220017879,2.3627265664185355,0.45130193722075873,-0.023802472077358444,0.07105700340572915
黄瓜,volume,0.015592699815867528,0.004484573089717727,0.0005071256396186915,1410,0.07590790794820312,0.8438290769871909,119.42592954866966,1.5592699815867528,0.0013408122031696884,0.006802936560020784,0.024382463071714273
