offset,mean,count,ci_low,ci_high,group,crop,response,n_units,ci_excl0
18,-0.3483439944740751,7,-1.4965342639948187,0.5681876212735905,rain,芸豆,price,8,False
19,0.4251842014531876,4,-0.6004089110892582,1.4343170905966005,rain,芸豆,price,8,False
20,0.185289790709839,3,-0.7571891917254658,1.3807971208152938,rain,芸豆,price,8,False
21,-0.49266514666056366,5,-1.865984039193267,0.6782267031115607,rain,芸豆,price,8,False
-14,-0.2433440530177494,6,-0.8006037287086346,0.35223406328222184,rain,芸豆,volume,8,False
-13,-0.33188276184813803,5,-0.7824425891785036,0.16862268986914863,rain,芸豆,volume,8,False
-12,0.18155042942578348,4,-0.060704168352893606,0.31101518353643,rain,芸豆,volume,8,False
-11,0.0776635862146302,6,-0.3961805959516437,0.4029520212239759,rain,芸豆,volume,8,False
-10,-0.08372250379534875,7,-0.4893842648800156,0.28215126151184433,rain,芸豆,volume,8,False
-9,-0.007044681265644381,5,-0.36236079260158577,0.4034578892935825,rain,芸豆,volume,8,False
-8,0.3497567669742679,4,-0.07244530379563419,0.7269886235891904,rain,芸豆,volume,8,False
-7,0.1513579469722582,6,-0.2467521396345759,0.5560557731293825,rain,芸豆,volume,8,False
-6,0.16247455393400204,6,-0.2822468738483398,0.5450683345185495,rain,芸豆,volume,8,False
-5,-0.25828832564746956,5,-0.7177295031140378,0.0465284127150666,rain,芸豆,volume,8,False
-4,0.06763940843710622,7,-0.17828024216716362,0.32282085358887375,rain,芸豆,volume,8,False
-3,-0.12868855442712185,7,-0.3958360767977321,0.27849455803725337,rain,芸豆,volume,8,False
-2,0.16450080189456967,4,-0.2518098835379289,0.738155192829414,rain,芸豆,volume,8,False
-1,0.08183404862662026,4,-0.4892139767808638,0.369845766446333,rain,芸豆,volume,8,False
0,-0.11968741378037355,6,-0.745974029191294,0.516707108355414,rain,芸豆,volume,8,False
1,-0.2633844780524036,5,-0.8157501800426392,0.3686883069948861,rain,芸豆,volume,8,False
2,-0.011470506434308636,4,-0.9130606392173911,1.030445347096277,rain,芸豆,volume,8,False
3,0.2415398596282031,6,-0.20566441582636857,0.7452572712364072,rain,芸豆,volume,8,False
4,0.1711208037931363,6,-0.4121082332838706,0.6822349126409564,rain,芸豆,volume,8,False
5,0.5740665797323024,5,-0.30014838796708476,1.2089778467257224,rain,芸豆,volume,8,False
6,-0.1336282773172921,4,-0.8642808013283304,0.3534831202442157,rain,芸豆,volume,8,False
7,0.3012447824115016,6,-0.25892950822129296,0.8780037738174347,rain,芸豆,volume,8,False
8,0.09714887482173196,6,-0.5038909165246905,0.7275628775274672,rain,芸豆,volume,8,False
9,0.21640328218861438,5,-0.19041179465059443,0.6044936073264691,rain,芸豆,volume,8,False
10,0.2825128932417931,7,-0.06275920162420232,0.655450447412204,rain,芸豆,volume,8,False
11,0.08083182911187789,7,-0.44403974998875834,0.6228038902057522,rain,芸豆,volume,8,False
12,0.010492078480747225,5,-0.687980574666127,0.7728877197715726,rain,芸豆,volume,8,False
13,-0.07742071402757578,4,-0.8642808013283304,0.7565121666475146,rain,芸豆,volume,8,False
14,-0.6655253061716182,6,-0.9932002900310266,-0.088063199784163,rain,芸豆,volume,8,True
15,-0.13767383403308267,6,-0.6060008027272743,0.35782706278981635,rain,芸豆,volume,8,False
16,-0.10435454565136637,5,-0.6622689849322491,0.44381491973559983,rain,芸豆,volume,8,False
17,-0.28493764985213926,6,-0.9931909146689487,0.44679017341906757,rain,芸豆,volume,8,False
18,-0.06370190506167828,7,-0.5250793463435106,0.37988550787012976,rain,芸豆,volume,8,False
19,-0.022483025315886404,4,-0.7756643733980849,0.7509330455506099,rain,芸豆,volume,8,False
20,-0.41549185920185844,3,-0.7660882700227996,-0.11616229746541434,rain,芸豆,volume,8,True
21,0.1524016034560573,5,-0.6183498125581853,1.004423951583221,rain,芸豆,volume,8,False
-14,-0.0023108340259812565,6,-0.3219267874946259,0.2775212725244198,rain,芹菜,price,8,False
-13,0.020439515192687024,5,-0.24487492804176872,0.25363047868556204,rain,芹菜,price,8,False
-12,-0.046501865630068626,4,-0.1468209683507136,0.04627615173100719,rain,芹菜,price,8,False
-11,0.0277290580184263,6,-0.125133272371499,0.1620377552620138,rain,芹菜,price,8,False
