crop,variable,year,value,series_mean,series_sd,anomaly,anomaly_pct,z_within_series,n_years_in_series
大豆,production_ton,2018,21484.22,22112.703337500003,2405.464838455961,-628.4833375000017,-2.842182287292677,-0.26127313417868026,8
大豆,production_ton,2019,21417.40670000003,22112.703337500003,2405.464838455961,-695.2966374999742,-3.1443312329924393,-0.28904876362536097,8
大豆,production_ton,2020,17000.0,22112.703337500003,2405.464838455961,-5112.703337500003,-23.121113956381734,-2.125453365920653,8
大豆,production_ton,2021,22000.0,22112.703337500003,2405.464838455961,-112.70333750000282,-0.5096768847293038,-0.046853038838158924,8
大豆,production_ton,2022,23000.0,22112.703337500003,2405.464838455961,887.2966624999972,4.012610529601182,0.36886702657834,8
大豆,production_ton,2023,24000.0,22112.703337500003,2405.464838455961,1887.2966624999972,8.534897943931668,0.7845870919948389,8
大豆,production_ton,2024,23000.0,22112.703337500003,2405.464838455961,887.2966624999972,4.012610529601182,0.36886702657834,8
大豆,production_ton,2025,25000.0,22112.703337500003,2405.464838455961,2887.296662499997,13.057185358262155,1.2003071574113378,8
大豆,yield_kg_per_ha,2020,2218.0,2188.25,164.44201105556937,29.75,1.3595338741003085,0.18091483927392907,6
大豆,yield_kg_per_ha,2021,2494.0,2188.25,164.44201105556937,305.75,13.972352336341826,1.8593180540505483,6
大豆,yield_kg_per_ha,2022,2137.0,2188.25,164.44201105556937,-51.25,-2.342054152861876,-0.31166001723660053,6
大豆,yield_kg_per_ha,2023,2115.0,2188.25,164.44201105556937,-73.25,-3.347423740431852,-0.44544578073328756,6
大豆,yield_kg_per_ha,2024,2010.0,2188.25,164.44201105556937,-178.25,-8.145778590197647,-1.0839687428765667,6
大豆,yield_kg_per_ha,2025,2155.5,2188.25,164.44201105556937,-32.75,-1.4966297269507596,-0.19915835247802277,6
小麦,production_ton,2020,6000.0,3200.0,1643.1676725154985,2800.0,87.5,1.7040257344605167,5
小麦,production_ton,2021,3000.0,3200.0,1643.1676725154985,-200.0,-6.25,-0.1217161238900369,5
小麦,production_ton,2022,3000.0,3200.0,1643.1676725154985,-200.0,-6.25,-0.1217161238900369,5
小麦,production_ton,2023,2000.0,3200.0,1643.1676725154985,-1200.0,-37.5,-0.7302967433402214,5
小麦,production_ton,2024,2000.0,3200.0,1643.1676725154985,-1200.0,-37.5,-0.7302967433402214,5
小麦,yield_kg_per_ha,2020,5942.0,4482.8,834.4571289167586,1459.1999999999998,32.551084143838665,1.7486818069302665,5
小麦,yield_kg_per_ha,2021,4129.0,4482.8,834.4571289167586,-353.8000000000002,-7.8923886856429055,-0.42398822868142044,5
小麦,yield_kg_per_ha,2022,3868.0,4482.8,834.4571289167586,-614.8000000000002,-13.714642634067998,-0.736766430167714,5
小麦,yield_kg_per_ha,2023,4110.0,4482.8,834.4571289167586,-372.8000000000002,-8.316230927099138,-0.4467575230424916,5
小麦,yield_kg_per_ha,2024,4365.0,4482.8,834.4571289167586,-117.80000000000018,-2.627821897028647,-0.14116962503864156,5
水稻,production_ton,2018,980071.635,899812.6318211074,89591.58038787705,80259.00317889266,8.919523947608798,0.8958319836687777,8
水稻,production_ton,2019,927429.4195688594,899812.6318211074,89591.58038787705,27616.787747752038,3.069170933048488,0.3082520436428082,8
水稻,production_ton,2020,1023000.0,899812.6318211074,89591.58038787705,123187.36817889265,13.690335501245068,1.3749882259646082,8
水稻,production_ton,2021,945000.0,899812.6318211074,89591.58038787705,45187.36817889265,5.02186417270439,0.5043707007205234,8
水稻,production_ton,2022,920000.0,899812.6318211074,89591.58038787705,20187.368178892648,2.2435079776593,0.22532662211665005,8
水稻,production_ton,2023,838000.0,899812.6318211074,89591.58038787705,-61812.63182110735,-6.869500342088594,-0.6899379557040545,8
水稻,production_ton,2024,780000.0,899812.6318211074,89591.58038787705,-119812.63182110735,-13.315286714593203,-1.3373202180650405,8
水稻,production_ton,2025,785000.0,899812.6318211074,89591.58038787705,-114812.63182110735,-12.759615475584186,-1.281511402344266,8
水稻,yield_kg_per_ha,2020,8149.0,7535.416666666667,406.0411822299145,613.583333333333,8.142659662703894,1.5111357177211178,6
水稻,yield_kg_per_ha,2021,7749.0,7535.416666666667,406.0411822299145,213.58333333333303,2.8343931434890752,0.5260139677467366,6
