crop,response,hazard_key,peak_lag_hist,peak_lag_stl,peak_lag_diff,sign_agree_peak,corr_effect_profile_0_14,corr_effect_profile_all,n_sig_hist,n_sig_stl
芹菜,volume,precip_1d,1,6,5,True,0.7449634563731321,0.7799533968058611,0,0
芹菜,volume,precip_3d,0,0,0,True,0.7216319955328151,0.7686501902641056,0,0
芹菜,volume,precip_7d,0,0,0,True,0.9203121736069158,0.9195282134320943,0,0
芹菜,volume,soil_z,14,14,0,True,0.4429213667886907,0.6343003951179988,15,0
芹菜,volume,temp_max,12,12,0,True,0.6818621725788284,0.9317411837812516,0,0
芹菜,volume,temp_min,10,9,1,True,0.7889338093230441,0.9559412688178159,0,0
芹菜,volume,vpd,4,11,7,True,0.42359529120988315,0.30460770775948465,0,0
茄子,price,precip_1d,12,13,1,True,0.7901135309176784,0.6821896683730945,0,0
茄子,price,precip_3d,12,12,0,True,0.6680279783962257,0.3124779848576196,0,0
茄子,price,precip_7d,10,14,4,True,0.09833070527214455,-0.2691395715743156,0,0
茄子,price,soil_z,6,13,7,True,0.16457148148953307,-0.14027716667683574,0,15
茄子,price,temp_max,14,10,4,False,0.37180439934579723,0.7459253410558196,0,15
茄子,price,temp_min,13,10,3,False,0.4497063853961273,0.44079728326469103,0,12
茄子,price,vpd,7,3,4,False,0.7833184534318657,0.5150451493966126,0,0
茄子,volume,precip_1d,8,12,4,False,0.8355402161561081,0.8067893456307276,0,0
茄子,volume,precip_3d,7,11,4,False,0.7256166232275622,0.752104190599562,0,0
茄子,volume,precip_7d,3,8,5,False,-0.021904484506190123,0.6443090240798094,0,0
茄子,volume,soil_z,0,3,3,False,0.7428155481158751,0.8286372419415072,0,0
茄子,volume,temp_max,0,14,14,True,-0.25049746220345204,-0.5857925522027437,0,0
茄子,volume,temp_min,0,14,14,True,-0.49271565173708237,-0.6749907617114843,0,0
茄子,volume,vpd,0,9,9,True,-0.22490561348277507,-0.60501972457317,0,0
西红柿,price,precip_1d,13,7,6,False,0.5704178628830427,0.4664788948834363,0,0
西红柿,price,precip_3d,11,6,5,False,0.6197984296970888,0.4611809764208797,0,0
西红柿,price,precip_7d,13,2,11,False,0.8412483758841115,0.2881237568753276,0,0
西红柿,price,soil_z,13,6,7,True,0.8673289867397099,0.9134295900555942,0,0
西红柿,price,temp_max,13,5,8,False,0.5122340497667418,0.400544662990573,0,0
西红柿,price,temp_min,12,4,8,False,0.765146206074808,0.006869666208683442,0,0
西红柿,price,vpd,14,3,11,False,0.9056501512038159,0.8276912165000936,0,0
西红柿,volume,precip_1d,1,4,3,False,0.6983806647170904,0.5562917793083247,0,0
西红柿,volume,precip_3d,0,3,3,False,0.6986789390959455,0.35640238053266277,0,0
西红柿,volume,precip_7d,0,10,10,False,0.621836370294988,-0.279711180765936,0,0
西红柿,volume,soil_z,10,9,1,True,0.5970320815830724,0.39014700696365284,15,0
西红柿,volume,temp_max,1,6,5,True,-0.3912656680603012,0.8918666576049403,0,0
西红柿,volume,temp_min,10,6,4,False,0.061389319141872546,0.9198073461592547,0,0
西红柿,volume,vpd,11,3,8,True,0.18032391407334664,0.6954718508153038,0,0
青椒,price,precip_1d,6,13,7,True,0.8083583899892174,0.8635909014943084,0,0
青椒,price,precip_3d,5,12,7,True,0.766895010951587,0.8207514707698916,0,0
青椒,price,precip_7d,14,14,0,True,0.3004190990847076,0.8227296741858622,0,15
青椒,price,soil_z,14,14,0,True,0.9176337275947626,0.8039323302918593,15,11
青椒,price,temp_max,10,10,0,True,0.3628607845692543,0.5372503675687577,0,15
青椒,price,temp_min,11,8,3,True,0.34376754612531363,0.6747567233664921,0,15
青椒,price,vpd,8,3,5,False,0.32846877566018196,0.18110556258880323,0,15
青椒,volume,precip_1d,1,1,0,True,0.9900712867698572,0.9248382493972371,0,0
青椒,volume,precip_3d,0,0,0,True,0.9902387702509935,0.8688401021776564,0,0
青椒,volume,precip_7d,10,0,10,False,0.964653233977669,0.8805558896556492,0,0
青椒,volume,soil_z,10,10,0,True,0.8920626818559927,0.6981156985817999,0,0
青椒,volume,temp_max,3,3,0,True,0.6775887603730175,0.9378846353877175,0,0
青椒,volume,temp_min,3,3,0,True,0.8608791116295995,0.9755295557031268,0,0
青椒,volume,vpd,13,3,10,True,0.6319678938094075,0.8779302595305533,0,0
韭菜,price,precip_1d,8,6,2,True,0.5391753264562129,0.254317943306855,0,0
韭菜,price,precip_3d,8,5,3,True,0.7592127498700059,0.2290131780237183,0,5
韭菜,price,precip_7d,6,6,0,True,0.9584374145444021,-0.026760056953416305,0,12
韭菜,price,soil_z,12,6,6,True,0.8071171654256319,0.9113302760956237,0,15
韭菜,price,temp_max,8,0,8,False,0.8599450394283814,0.6211095881736778,0,0
韭菜,price,temp_min,14,0,14,False,0.9505501909669113,0.34598655168612724,0,0
韭菜,price,vpd,8,1,7,False,0.7669742515469892,-0.04549352928727713,0,0
韭菜,volume,precip_1d,1,12,11,False,0.8288010137355493,0.8473544804148972,0,0
韭菜,volume,precip_3d,0,11,11,False,0.9029226016356925,0.9005031941873249,0,0
韭菜,volume,precip_7d,0,14,14,False,0.9973458305161612,0.8713758806478602,0,0
韭菜,volume,soil_z,3,14,11,True,0.2515392941963959,0.6594799717672959,0,0
韭菜,volume,temp_max,11,13,2,False,-0.5047623053373262,0.9201789690462306,0,0
韭菜,volume,temp_min,8,14,6,False,0.1320345651559381,0.9274485919036166,0,0
韭菜,volume,vpd,5,9,4,True,0.8290191434858921,0.8858180493875598,0,0
黄瓜,price,precip_1d,5,6,1,True,0.7062438806174264,0.7141684054752255,0,0
黄瓜,price,precip_3d,4,5,1,True,0.8319493036612395,0.8554156534509073,0,0
黄瓜,price,precip_7d,6,6,0,True,0.9953312314945658,0.9725707226193869,0,0
黄瓜,price,soil_z,4,5,1,True,0.8712193714062606,0.7024096616959296,0,0
黄瓜,price,temp_max,4,0,4,False,-0.7607220834842462,-0.3874599971806787,0,0
黄瓜,price,temp_min,0,1,1,False,-0.7572132723203211,-0.3675122082350255,0,0
黄瓜,price,vpd,4,0,4,False,0.4558411511387673,-0.33486202408052496,0,0
黄瓜,volume,precip_1d,8,5,3,False,0.626030246205595,0.6550580943973565,0,0
黄瓜,volume,precip_3d,8,3,5,False,0.23270362862692634,0.4948881571539019,0,0
黄瓜,volume,precip_7d,7,3,4,False,-0.7676792864525787,0.2652328799976229,0,0
黄瓜,volume,soil_z,12,0,12,False,0.8586838193894836,0.5652127101141563,0,0
黄瓜,volume,temp_max,2,13,11,True,-0.6807608138120856,0.1285145443823293,0,14
黄瓜,volume,temp_min,0,14,14,True,-0.7138946411188621,0.34360428318174896,0,12
黄瓜,volume,vpd,2,13,11,True,0.31031060809215755,0.1970201372556629,0,0
