crop,test_year,baseline,weather,delta_rmse,rel_gain_pct
土豆,2025,0.1666013648873604,0.1665547609560767,4.660393128372298e-05,0.027973319015262576
土豆,2026,0.20316619318402945,0.20265455874115812,0.0005116344428713337,0.2518305013511236
尖椒,2025,0.2277499365218846,0.2293474515214717,-0.0015975149995871019,-0.7014337847833366
尖椒,2026,0.13615330231663506,0.13650527514158248,-0.0003519728249474219,-0.25851214693925073
甘蓝,2025,0.2665029082881312,0.27006947961656097,-0.0035665713284297462,-1.33828608150637
甘蓝,2026,0.1325390371262778,0.13271907166327523,-0.0001800345369974421,-0.13583510254862688
芸豆,2025,0.2544966754780129,0.2547706472952893,-0.0002739718172763972,-0.10765241501163217
芸豆,2026,0.20558247529938867,0.21246388348549075,-0.006881408186102084,-3.347273728502746
芹菜,2025,0.24601645263274052,0.2491759543896554,-0.003159501756914873,-1.2842644152874831
芹菜,2026,0.11888727969757454,0.1203024603655735,-0.0014151806679989637,-1.1903549913825098
茄子,2025,0.17486717974776236,0.18009144916632075,-0.005224269418558386,-2.987564290848716
茄子,2026,0.19392831971793942,0.19094775258243124,0.0029805671355081775,1.5369426909093458
西红柿,2025,0.28191570760986784,0.2819895634422119,-7.385583234403859e-05,-0.02619784224518798
西红柿,2026,0.1592650424025522,0.15709235879659458,0.002172683605957626,1.3641936568013677
青椒,2025,0.21868483458469015,0.2214791360666811,-0.002794301481990946,-1.2777756113256202
青椒,2026,0.1963782826857721,0.19619753597430148,0.00018074671147061405,0.0920400713350924
韭菜,2025,0.3087509216434281,0.31937929924463776,-0.01062837760120966,-3.4423792306875174
韭菜,2026,0.22323692656324357,0.2290675077116842,-0.005830581148440622,-2.611835433412852
黄瓜,2025,0.3316355633681114,0.33449256596599874,-0.002857002597887348,-0.8614886078174042
黄瓜,2026,0.30280172669480154,0.3046778050039657,-0.001876078309164142,-0.6195731872609398
