crop,severity_mult,mean_gap_volume_z,mean_gap_price_z,mean_gap_volume_pct,mean_gap_price_pct
土豆,0.5,0.018471604522767162,-0.08195618790212014,0.28748198775966005,-1.9197333684692253
尖椒,0.5,0.0002429040118559489,-0.049245212678266634,0.0015353285423512816,-2.030835412694267
甘蓝,0.5,0.021438860086231793,-0.05930714230196332,0.2600611687951139,-3.652425796578542
芸豆,0.5,0.006260688108979737,-0.04880625523414931,0.04847333564066623,-1.236656122943683
芹菜,0.5,-0.0010529217174450323,-0.03758165469470761,-0.009557520846636766,-1.4621384761189833
茄子,0.5,-0.0015961992153147753,-0.08522867155879177,-0.016594837854522194,-4.638151055407219
西红柿,0.5,0.0015323476392304024,-0.03190846337715656,0.01989732378563732,-1.2671648518653305
青椒,0.5,0.014004808031275772,-0.057876243223401194,0.08983790678351988,-2.3113111078593542
韭菜,0.5,0.029619877488456105,-0.08534446710413009,0.2176486012815758,-2.6643582672579766
黄瓜,0.5,0.006099760120854182,-0.059219421804754056,0.0347827090583785,-2.0600270602479274
POOLED,0.5,0.00950217290768913,-0.05964737198794407,0.09335660029457438,-2.3242801519442504
土豆,1.0,0.0,0.0,0.0,0.0
尖椒,1.0,0.0,0.0,0.0,0.0
甘蓝,1.0,0.0,0.0,0.0,0.0
芸豆,1.0,0.0,0.0,0.0,0.0
芹菜,1.0,0.0,0.0,0.0,0.0
茄子,1.0,0.0,0.0,0.0,0.0
西红柿,1.0,0.0,0.0,0.0,0.0
青椒,1.0,0.0,0.0,0.0,0.0
韭菜,1.0,0.0,0.0,0.0,0.0
黄瓜,1.0,0.0,0.0,0.0,0.0
POOLED,1.0,0.0,0.0,0.0,0.0
土豆,1.2,0.025095309810497755,-0.041458936363449175,0.39219296445181207,-0.9705318797755232
尖椒,1.2,0.05146304079718807,-0.03896219097928412,0.267424282228966,-1.6045928984968512
甘蓝,1.2,0.031365287124235704,-0.017999731709613005,0.3804723383759333,-1.1085120927417695
芸豆,1.2,0.01932816227623217,-0.03545513400560189,0.14917976947473693,-0.8949040804717312
芹菜,1.2,0.026358860893497787,-0.02760358207091298,0.23926314588183573,-1.0725190962598279
茄子,1.2,0.03341664632612639,-0.018489043191872064,0.33944767671444437,-1.0065290668005213
西红柿,1.2,0.02397349737733393,-0.015041155808274042,0.3051776107372212,-0.5973219000360832
青椒,1.2,0.036675341656143744,-0.04322772341537019,0.23537857769625742,-1.7214473210826113
韭菜,1.2,0.04294902937746252,-0.04386500857989588,0.3164852206510455,-1.367416725367677
黄瓜,1.2,0.025936056489004395,-0.03762279756532035,0.1478953744253766,-1.3179526543767532
POOLED,1.2,0.03165612321277225,-0.03197253036895937,0.27729169606376286,-1.166172771540935
土豆,1.5,0.02509399633514372,-0.041458936363449175,0.3921728193632614,-0.9705318797755232
尖椒,1.5,0.05098486197982026,-0.03896219097928412,0.26489232539100355,-1.6045928984968512
甘蓝,1.5,0.03136397364888165,-0.017999731709613005,0.38045640544226134,-1.1085120927417695
芸豆,1.5,0.01891905969643299,-0.03545513400560189,0.14602073049135011,-0.8949040804717312
芹菜,1.5,0.02635754741814374,-0.02760358207091298,0.2392512232784077,-1.0725190962598279
茄子,1.5,0.03341533285077235,-0.018489043191872064,0.3394343526821923,-1.0065290668005213
西红柿,1.5,0.023972183901979884,-0.015041155808274042,0.3051599074775857,-0.5973219000360832
青椒,1.5,0.0366740281807897,-0.04322772341537019,0.23537011091990995,-1.7214473210826113
韭菜,1.5,0.04294771590210848,-0.04386500857989588,0.3164753606077043,-1.367416725367677
黄瓜,1.5,0.025934743013650348,-0.03762279756532035,0.14788788458476154,-1.3179526543767532
POOLED,1.5,0.031566344292772316,-0.03197253036895937,0.2767121120238437,-1.166172771540935
