target_kind,target,feature_set,model,split,stratum,stratum_value,n,mae,rmse,r2,bias,nrmse_sd,mape
hist,volume,F_wx,elasticnet,valid,period,normal,2360,1.0105415750691962,1.2513696221578363,-0.48957593367919494,0.0830750952465214,1.2202232408195275,
hist,volume,F_wx,elasticnet,valid,period,extreme,140,0.9240831031072275,1.0774206746390986,-1.1080782578137063,-0.01610418377058686,1.4467275334257585,
hist,volume,F_wx,gam,valid,period,normal,2360,1.0364079049868309,1.2847907895231518,-0.5702046537017633,0.038544573211552184,1.2528125608991973,
hist,volume,F_wx,gam,valid,period,extreme,140,0.9606304376567798,1.141246853128319,-1.3652404910782372,-0.10373637801241696,1.5324313740399484,
hist,volume,F_wx,lightgbm,valid,period,normal,2360,0.7939557168901692,1.0015290491982103,0.04584587543842644,-0.23618625156406742,0.9766011580816504,
hist,volume,F_wx,lightgbm,valid,period,extreme,140,0.7278197558735016,0.8941411844132198,-0.4518719582808872,-0.40896431623082113,1.200625438799781,
hist,volume,F_lag,baseline_mean,valid,period,normal,2360,1.0448022786364939,1.3186358416433892,-0.6540216245506927,0.24490248203219545,1.2858152153128848,
hist,volume,F_lag,baseline_mean,valid,period,extreme,140,0.9119626939102781,1.0544877390347824,-1.0192922938533515,0.048299918956142815,1.415933888805789,
hist,volume,F_lag,baseline_seasonal_naive,valid,period,normal,2360,1.0340889392421078,1.3964473616694326,-0.8549857203053111,0.17167615948384846,1.3616900195737929,
hist,volume,F_lag,baseline_seasonal_naive,valid,period,extreme,140,0.8800712271678244,1.0470995253586997,-0.9910952880069706,-0.12574159319376188,1.4060132214196708,
hist,volume,F_lag,baseline_persistence,valid,period,normal,2360,0.36407066835480667,0.6030150803107519,0.6541022178019353,0.0003940540051305741,0.5880061354622085,
hist,volume,F_lag,baseline_persistence,valid,period,extreme,140,0.32037753969302796,0.5029118217057537,0.5406964436731463,-0.022422758301812475,0.675294614697026,
hist,volume,F_lag,elasticnet,valid,period,normal,2360,0.4054656602795536,0.5894778028277765,0.6694582338718453,0.01041686795406321,0.5748057985596191,
hist,volume,F_lag,elasticnet,valid,period,extreme,140,0.36566560459914643,0.4916465231020107,0.5610429146215775,-0.00029779732101461293,0.6601679162347406,
hist,volume,F_lag,gam,valid,period,normal,2360,0.4236076614459491,0.5990265562259159,0.658662830173827,-0.014343738657857161,0.5841168850771041,
hist,volume,F_lag,gam,valid,period,extreme,140,0.3791595755776009,0.5004147239310662,0.5452462610972433,-0.03214888353226896,0.6719415881686399,
hist,volume,F_lag,lightgbm,valid,period,normal,2360,0.43794385179772627,0.6085501530035521,0.6477230861903727,-0.056111277438781436,0.5934034411181774,
hist,volume,F_lag,lightgbm,valid,period,extreme,140,0.39106647089245244,0.4953990860306332,0.5543165357799547,-0.12067588495501566,0.665206742978593,
hist,volume,F_now,baseline_mean,valid,period,normal,2360,1.0448022786364939,1.3186358416433892,-0.6540216245506927,0.24490248203219545,1.2858152153128848,
hist,volume,F_now,baseline_mean,valid,period,extreme,140,0.9119626939102781,1.0544877390347824,-1.0192922938533515,0.048299918956142815,1.415933888805789,
hist,volume,F_now,baseline_seasonal_naive,valid,period,normal,2360,1.0340889392421078,1.3964473616694326,-0.8549857203053111,0.17167615948384846,1.3616900195737929,
hist,volume,F_now,baseline_seasonal_naive,valid,period,extreme,140,0.8800712271678244,1.0470995253586997,-0.9910952880069706,-0.12574159319376188,1.4060132214196708,
hist,volume,F_now,baseline_persistence,valid,period,normal,2360,0.36407066835480667,0.6030150803107519,0.6541022178019353,0.0003940540051305741,0.5880061354622085,
hist,volume,F_now,baseline_persistence,valid,period,extreme,140,0.32037753969302796,0.5029118217057537,0.5406964436731463,-0.022422758301812475,0.675294614697026,
hist,volume,F_now,elasticnet,valid,period,normal,2360,0.40964872709059463,0.590316311438919,0.6685172001571693,0.018315351955572295,0.5756234368311788,
hist,volume,F_now,elasticnet,valid,period,extreme,140,0.3796825115090148,0.5034743057535533,0.5396684487473318,0.021100791934341265,0.6760499010751504,
hist,volume,F_now,gam,valid,period,normal,2360,0.44439656620950185,0.624765193224423,0.6286998851855287,-0.05180967524540809,0.6092148916904006,
hist,volume,F_now,gam,valid,period,extreme,140,0.4221233216799658,0.5419371235815996,0.466648006157771,-0.021430306908951723,0.7276965966275752,
hist,volume,F_now,lightgbm,valid,period,normal,2360,0.43468646123009264,0.593470404772096,0.6649654743267048,-0.07195415225376871,0.578699025306964,
hist,volume,F_now,lightgbm,valid,period,extreme,140,0.3993568454288622,0.5091738835704526,0.5291870945560591,-0.15783336417526442,0.683703119869539,
strict,price,F_wx,baseline_mean,valid,period,normal,2360,0.2637397480015334,0.33324255105724904,-0.03369530573097679,0.0922455952022631,1.016492645937735,
strict,price,F_wx,baseline_mean,valid,period,extreme,140,0.18616787005740684,0.22848751226182512,-0.056264110323601235,0.10937659782980812,1.0240700008683161,
strict,price,F_wx,baseline_seasonal_naive,valid,period,normal,2360,0.30576892087175794,0.412290610123808,-0.5822624840716528,0.04049126410169296,1.2576136266224764,
strict,price,F_wx,baseline_seasonal_naive,valid,period,extreme,140,0.24282435936830865,0.31561931377814445,-1.0154625268123287,0.17646301062157152,1.4145905294135566,
strict,price,F_wx,baseline_persistence,valid,period,normal,2360,0.03311931207962319,0.05350053658364693,0.9733567058993584,-0.001959952149365393,0.16319315111009702,
strict,price,F_wx,baseline_persistence,valid,period,extreme,140,0.03516356726034333,0.052389612248707376,0.9444686855509172,-0.006189181280943181,0.2348077132528186,
strict,price,F_wx,elasticnet,valid,period,normal,2360,0.31644479397880343,0.39706407799779936,-0.4675497758679239,0.08278499808465328,1.21116800351667,
strict,price,F_wx,elasticnet,valid,period,extreme,140,0.2632861833487916,0.3199590970859316,-1.0712690244081613,0.20185372884689115,1.4340412287177762,
strict,price,F_wx,gam,valid,period,normal,2360,0.3469805488292353,0.4324757117414647,-0.7409852324213537,0.08314245004693896,1.3191844172875888,
strict,price,F_wx,gam,valid,period,extreme,140,0.31630823188900703,0.37875662590903963,-1.9024721643463876,0.24893378479131673,1.6975689147470103,
strict,price,F_wx,lightgbm,valid,period,normal,2360,0.35115394433525465,0.44007964900477514,-0.8027446453777645,0.1461727954459046,1.3423787731218146,
strict,price,F_wx,lightgbm,valid,period,extreme,140,0.3267969402020059,0.3956917306898365,-2.1678275679438594,0.2732028931335603,1.7734712369172587,
strict,price,F_lag,baseline_mean,valid,period,normal,2360,0.2637397480015334,0.33324255105724904,-0.03369530573097679,0.0922455952022631,1.016492645937735,
strict,price,F_lag,baseline_mean,valid,period,extreme,140,0.18616787005740684,0.22848751226182512,-0.056264110323601235,0.10937659782980812,1.0240700008683161,
strict,price,F_lag,baseline_seasonal_naive,valid,period,normal,2360,0.30576892087175794,0.412290610123808,-0.5822624840716528,0.04049126410169296,1.2576136266224764,
strict,price,F_lag,baseline_seasonal_naive,valid,period,extreme,140,0.24282435936830865,0.31561931377814445,-1.0154625268123287,0.17646301062157152,1.4145905294135566,
strict,price,F_lag,baseline_persistence,valid,period,normal,2360,0.03311931207962319,0.05350053658364693,0.9733567058993584,-0.001959952149365393,0.16319315111009702,
strict,price,F_lag,baseline_persistence,valid,period,extreme,140,0.03516356726034333,0.052389612248707376,0.9444686855509172,-0.006189181280943181,0.2348077132528186,
strict,price,F_lag,elasticnet,valid,period,normal,2360,0.03941974884278076,0.05803652659346716,0.9686473345464821,0.004729778482114173,0.17702932080811734,
strict,price,F_lag,elasticnet,valid,period,extreme,140,0.03610460498288451,0.05081507445343775,0.947756445457243,0.003560279129571781,0.22775071085733858,
