target_kind,target,feature_set,model,split,stratum,stratum_value,n,mae,rmse,r2,bias,nrmse_sd,mape
hist,price,F_wx,baseline_persistence,valid,crop,西红柿,250,0.13828629152431773,0.23925084306766004,0.9570876344566794,-0.01455645173940187,0.2067382791868677,
hist,price,F_wx,baseline_persistence,valid,crop,青椒,250,0.13525653803020515,0.2152820681629105,0.9607668128221765,-0.007722080277151946,0.19767714695713365,
hist,price,F_wx,baseline_persistence,valid,crop,韭菜,250,0.15404320658148493,0.2431542906854712,0.9673162640720466,-0.008099406420545125,0.1804245021726305,
hist,price,F_wx,baseline_persistence,valid,crop,黄瓜,250,0.1944784994531483,0.30891735635566725,0.9645831374435131,-0.00869887086303247,0.1878169191160928,
hist,price,F_wx,baseline_persistence,valid,season,冬(12-2),640,0.1858478111122308,0.3009044014174907,0.966186852154662,0.0051443723684045485,0.1837398018988526,
hist,price,F_wx,baseline_persistence,valid,season,夏(6-8),620,0.0952192549344278,0.14392411071338135,0.947789587416325,-0.002090522887414758,0.22831163404609509,
hist,price,F_wx,baseline_persistence,valid,season,春(3-5),600,0.09375419074214425,0.13206272442991476,0.9486286488750517,-0.022042949253903737,0.2264635339440032,
hist,price,F_wx,baseline_persistence,valid,season,秋(9-11),640,0.2071935585521632,0.3528448915184615,0.932685711280149,-0.01669570194014787,0.2592471989120158,
hist,price,F_wx,baseline_persistence,valid,period,normal,2360,0.15019986699632668,0.2590095881116134,0.9575365971098642,-0.007475005960035472,0.2060228383524736,
hist,price,F_wx,baseline_persistence,valid,period,extreme,140,0.08830887841795013,0.13658419712819653,0.9612951299871451,-0.030526647162652906,0.19603164707674184,
hist,price,F_wx,baseline_persistence,valid,overall,all,2500,0.1467339716359376,0.2537200153699869,0.9576041567197037,-0.008765897867382048,0.2058613245439371,
hist,price,F_wx,elasticnet,valid,crop,土豆,250,1.2647331909455592,1.5040827335014257,-6.044713382164938,1.2094747585719738,2.6488742002285197,
hist,price,F_wx,elasticnet,valid,crop,尖椒,250,1.209957263766993,1.4932625904394121,-0.8542171736530191,0.34521676008371677,1.3589703105507518,
hist,price,F_wx,elasticnet,valid,crop,甘蓝,250,1.5669511291249116,1.7967009245993368,-0.7988062399789573,0.4909253134185743,1.3385107452011886,
hist,price,F_wx,elasticnet,valid,crop,芸豆,250,1.2908178163278494,1.499614453311025,-0.8914703385826186,0.3773156855687428,1.3725539906423674,
hist,price,F_wx,elasticnet,valid,crop,芹菜,250,1.1130998517851252,1.3343196731443088,-1.3493629670221519,0.3382922734455939,1.5296945823117971,
hist,price,F_wx,elasticnet,valid,crop,茄子,250,1.509370361009303,1.7497044043710612,-0.9802879928090702,0.5282374256690507,1.404409783801663,
hist,price,F_wx,elasticnet,valid,crop,西红柿,250,1.0914435005415402,1.5044503972825276,-0.6968023177044329,-0.19793974850434348,1.3000058109230186,
hist,price,F_wx,elasticnet,valid,crop,青椒,250,1.309315537653569,1.5588449773472648,-1.0570447154587286,0.6769274873387168,1.4313687633160415,
hist,price,F_wx,elasticnet,valid,crop,韭菜,250,1.1743616607701868,1.7481930113524913,-0.6894548012850412,-0.3246157721383132,1.2971881058967125,
hist,price,F_wx,elasticnet,valid,crop,黄瓜,250,1.4330543583840474,1.9839149549930188,-0.4607354506524979,-0.5491588890721306,1.206189250843286,
