method,crop,response,hazard_key,hazard_label,window,lag_a,lag_b,effect,se,t,p_value,n,r2,p_joint_windows,fdr_p_within,fdr_p_joint,ci_low,ci_high
hist,土豆,price,soil_z,土壤水分异常,lag7-13,7,13,-0.0157318928777794,0.07940212739943216,-0.1981293624368546,0.8429438522806929,1400,0.008026686113356551,,0.9497310861940252,,-0.17136006258066644,0.13989627682510763
hist,土豆,price,soil_z,土壤水分异常,lag14-30,14,30,0.1121521203058663,0.1268759146568062,0.883951225961467,0.3767225426097748,1400,0.008026686113356551,,0.8931968003228632,,-0.13652467242147384,0.3608289130332064
hist,土豆,volume,precip_1d,当日降水,lag0-2,0,2,-0.014875031718545428,0.05336379515382175,-0.2787476354646063,0.7804385029518515,1400,0.006210490977888616,,0.9553853353714182,,-0.11946807022003607,0.08971800678294521
hist,土豆,volume,precip_1d,当日降水,lag3-6,3,6,-0.009705318636689138,0.06033196814338185,-0.1608652748344622,0.8721995127196022,1400,0.006210490977888616,,0.9553853353714182,,-0.12795597619771756,0.10854533892433928
hist,土豆,volume,precip_1d,当日降水,lag7-13,7,13,-0.004419426314049658,0.07899540404325094,-0.05594535995575096,0.9553853353714182,1400,0.006210490977888616,,0.9553853353714182,,-0.1592504182388215,0.1504115656107222
hist,土豆,volume,precip_1d,当日降水,lag14-30,14,30,0.1967284585600419,0.14974480622411165,1.3137581430745142,0.1889276075344567,1400,0.006210490977888616,,0.7557104301378268,,-0.09677136163921696,0.49022827875930075
hist,土豆,volume,precip_3d,3日累计降水,lag0-2,0,2,-0.0024495569526157106,0.04325754840352867,-0.05662727184085845,0.9548421096090626,1400,0.006188226115757978,,0.9548421096090626,,-0.0872343518235319,0.08233523791830047
hist,土豆,volume,precip_3d,3日累计降水,lag3-6,3,6,-0.021491923669718548,0.045689716103156267,-0.47038864547100734,0.6380773749208878,1400,0.006188226115757978,,0.9548421096090626,,-0.11104376723190482,0.06805991989246774
hist,土豆,volume,precip_3d,3日累计降水,lag7-13,7,13,0.013068076320219066,0.053745082822354295,0.24314924517678177,0.8078897835218729,1400,0.006188226115757978,,0.9548421096090626,,-0.09227228601159534,0.11840843865203349
hist,土豆,volume,precip_3d,3日累计降水,lag14-30,14,30,0.1240354996874012,0.10015636164467122,1.2384185852062695,0.21556089288983515,1400,0.006188226115757978,,0.8622435715593406,,-0.0722709691361544,0.3203419685109568
hist,土豆,volume,precip_7d,7日累计降水,lag0-2,0,2,0.004732617731009553,0.061112406073922,0.07744119459615033,0.9382725706105624,1400,0.006282991114978986,,0.9382725706105624,,-0.11504769817387757,0.12451293363589667
hist,土豆,volume,precip_7d,7日累计降水,lag3-6,3,6,-0.042901454157189864,0.04447114595389009,-0.9647031403614433,0.33469352188685786,1400,0.006282991114978986,,0.5304611985536235,,-0.13006490022681444,0.04426199191243471
hist,土豆,volume,precip_7d,7日累计降水,lag7-13,7,13,0.060787520138789075,0.04910786266887653,1.2378368113608587,0.21577657602130818,1400,0.006282991114978986,,0.5304611985536235,,-0.03546389069220893,0.15703893096978708
hist,土豆,volume,precip_7d,7日累计降水,lag14-30,14,30,0.06517853440232915,0.07709105996511274,0.8454746170544994,0.3978458989152176,1400,0.006282991114978986,,0.5304611985536235,,-0.08591994312929183,0.21627701193395013
hist,土豆,volume,temp_max,日最高气温,lag0-2,0,2,0.020085811182182986,0.1807196179494625,0.11114350179624605,0.9115025529676846,1400,0.0026869890462841717,,0.9115025529676846,,-0.3341246399987635,0.3742962623631295
hist,土豆,volume,temp_max,日最高气温,lag3-6,3,6,0.04322549431085132,0.11712898510227034,0.3690418240464501,0.7120965505405656,1400,0.0026869890462841717,,0.9115025529676846,,-0.18634731648959854,0.2727983051113012
hist,土豆,volume,temp_max,日最高气温,lag7-13,7,13,-0.18696270027910136,0.1498687837540624,-1.2475092917675958,0.2122108153816673,1400,0.0026869890462841717,,0.8488432615266692,,-0.4807055164370637,0.10678011587886097
hist,土豆,volume,temp_max,日最高气温,lag14-30,14,30,0.12340985487436505,0.24339775120630433,0.5070295607199865,0.6121340773486781,1400,0.0026869890462841717,,0.9115025529676846,,-0.3536497374899914,0.6004694472387215
hist,土豆,volume,temp_min,日最低气温,lag0-2,0,2,0.0516205686698326,0.197052243924816,0.26196387131489907,0.7933492962432546,1400,0.005049840343945733,,0.9523195745253219,,-0.3346018294228067,0.4378429667624719
hist,土豆,volume,temp_min,日最低气温,lag3-6,3,6,0.008694128508585412,0.14540095679688253,0.05979416298292075,0.9523195745253219,1400,0.005049840343945733,,0.9523195745253219,,-0.2762917468133043,0.29368000383047516
hist,土豆,volume,temp_min,日最低气温,lag7-13,7,13,-0.2244440388318678,0.17855018235985765,-1.2570361780953756,0.20874053554316763,1400,0.005049840343945733,,0.8008328821270174,,-0.5744023962571888,0.1255143185934532
hist,土豆,volume,temp_min,日最低气温,lag14-30,14,30,0.20531034992239264,0.24416195716857586,0.8408777202774508,0.4004164410635087,1400,0.005049840343945733,,0.8008328821270174,,-0.27324708612801607,0.6838677859728013
