crop,response,exposure,label,lag_days,effect_z_per_1sd,se_hac,ci_low,ci_high,p_value,n_obs,fdr_p,fdr_p_within
土豆,price,soil_moisture_0_7,土壤水分 0–7cm,0,0.04494564855721393,0.07032797063357192,-0.09289717388458703,0.1827884709990149,0.5227667361312817,1410,0.6418691166686951,0.5227667361312817
土豆,price,soil_moisture_0_7,土壤水分 0–7cm,1,0.060509047008584005,0.07106071392119685,-0.07876995227696182,0.19978804629412983,0.39448502854116574,1409,0.5495921450263919,0.42266253057982045
土豆,price,soil_moisture_0_7,土壤水分 0–7cm,2,0.07039986461072029,0.07310272115759922,-0.07288146885817418,0.21368119807961475,0.33553417724230017,1409,0.5092424275178249,0.42266253057982045
土豆,price,soil_moisture_0_7,土壤水分 0–7cm,3,0.06984848369068708,0.07269978845139954,-0.07264310167405602,0.21234006905543018,0.33666292857525804,1409,0.5100953463261486,0.42266253057982045
土豆,price,soil_moisture_0_7,土壤水分 0–7cm,4,0.06839871691029491,0.07276104872268704,-0.07421293858617169,0.21101037240676151,0.3471940778942464,1408,0.5137149747098089,0.42266253057982045
土豆,price,soil_moisture_0_7,土壤水分 0–7cm,5,0.07236985387566588,0.0738221056142045,-0.07232147312817494,0.2170611808795067,0.326924393244699,1407,0.5021023104440769,0.42266253057982045
土豆,price,soil_moisture_0_7,土壤水分 0–7cm,6,0.06489615037796487,0.07230842875914702,-0.07682836998996329,0.20662067074589302,0.3694570744775033,1406,0.5317306540937942,0.42266253057982045
土豆,price,soil_moisture_0_7,土壤水分 0–7cm,7,0.06569230017051353,0.07088943352939088,-0.07325098954709258,0.20463558988811964,0.3540891886805909,1405,0.5157426009657853,0.42266253057982045
土豆,price,soil_moisture_0_7,土壤水分 0–7cm,8,0.07255227651538404,0.0721897990344233,-0.06893972959208561,0.2140442826228537,0.31488665463433285,1404,0.49115769353708766,0.42266253057982045
土豆,price,soil_moisture_0_7,土壤水分 0–7cm,9,0.07303638483483389,0.07523727297639338,-0.07442867019889714,0.2205014398685649,0.3316740968389116,1404,0.5059435375508821,0.42266253057982045
土豆,price,soil_moisture_0_7,土壤水分 0–7cm,10,0.0668058041536057,0.0749957534914889,-0.08018587268971254,0.21379748099692392,0.3730394304709673,1404,0.5320689182628694,0.42266253057982045
土豆,price,soil_moisture_0_7,土壤水分 0–7cm,11,0.06388501111132393,0.07490564761011925,-0.08293005820450981,0.21070008042715765,0.3937296863064489,1403,0.5495921450263919,0.42266253057982045
土豆,price,soil_moisture_0_7,土壤水分 0–7cm,12,0.06410375210416629,0.07525224375319389,-0.08339064565209374,0.2115981498604263,0.3942964048953661,1402,0.5495921450263919,0.42266253057982045
土豆,price,soil_moisture_0_7,土壤水分 0–7cm,13,0.06942789148723882,0.07266606622814539,-0.07299759831992614,0.2118533812944038,0.3393564501515448,1401,0.5115926384194143,0.42266253057982045
土豆,price,soil_moisture_0_7,土壤水分 0–7cm,14,0.07281576263718355,0.07096789197919924,-0.06628130564204697,0.21191283091641405,0.30487361497336185,1400,0.48222540153958815,0.42266253057982045
土豆,price,soil_moisture_7_28,土壤水分 7–28cm,0,0.15739606927789423,0.08552343326213314,-0.010229859915886735,0.32502199847167523,0.06571169025410693,1410,0.1665930175456232,0.06571169025410693
土豆,price,soil_moisture_7_28,土壤水分 7–28cm,1,0.1704278669590012,0.08554361256477021,0.0027623863320515862,0.3380933475859508,0.04633901357619566,1409,0.13367023146979515,0.05140835643556291
土豆,price,soil_moisture_7_28,土壤水分 7–28cm,2,0.1751286195650542,0.08615947887628489,0.00625604096753582,0.3440011981625726,0.042091938985817756,1409,0.12798224691633778,0.05140835643556291
土豆,price,soil_moisture_7_28,土壤水分 7–28cm,3,0.1733213325236349,0.08618951871963824,0.004389875833143958,0.34225278921412583,0.04433255241995638,1409,0.1302331545163655,0.05140835643556291
土豆,price,soil_moisture_7_28,土壤水分 7–28cm,4,0.1720819701818243,0.08650531500291726,0.002531552776106477,0.3416323875875421,0.04667199294418134,1408,0.1337538770587957,0.05140835643556291
土豆,price,soil_moisture_7_28,土壤水分 7–28cm,5,0.17335556608069935,0.08766242967809008,0.0015372039116428038,0.3451739282497559,0.047981132673192047,1407,0.13495154795150796,0.05140835643556291
土豆,price,soil_moisture_7_28,土壤水分 7–28cm,6,0.17274338599243683,0.08719499616692655,0.0018411935052607964,0.34364557847961286,0.04757828699886333,1406,0.13465552924206603,0.05140835643556291
土豆,price,soil_moisture_7_28,土壤水分 7–28cm,7,0.18193124959716672,0.08595210471604806,0.013465124353712526,0.35039737484062095,0.03428884474295623,1405,0.1151491054800769,0.05140835643556291
土豆,price,soil_moisture_7_28,土壤水分 7–28cm,8,0.1881129508384127,0.08616282109479645,0.019233821492611658,0.35699208018421374,0.02901913714081834,1404,0.10446889370694602,0.05140835643556291
土豆,price,soil_moisture_7_28,土壤水分 7–28cm,9,0.18842706748429064,0.08756095335336463,0.016807598911695976,0.3600465360568853,0.0314010461914962,1404,0.10965292685969878,0.05140835643556291
土豆,price,soil_moisture_7_28,土壤水分 7–28cm,10,0.1819935097775033,0.08769230356661328,0.010116594786941269,0.35387042476806535,0.03795274879608628,1404,0.12112579403006261,0.05140835643556291
土豆,price,soil_moisture_7_28,土壤水分 7–28cm,11,0.17774614635417113,0.08821738340944155,0.004840074871665712,0.35065221783667655,0.04391876271575134,1403,0.12959634899729905,0.05140835643556291
土豆,price,soil_moisture_7_28,土壤水分 7–28cm,12,0.1769965859622959,0.08805501724483095,0.004408752162427254,0.34958441976216453,0.04442397604058246,1402,0.1302331545163655,0.05140835643556291
土豆,price,soil_moisture_7_28,土壤水分 7–28cm,13,0.1835919248124174,0.08722383691433702,0.01263320446031685,0.35455064516451795,0.03530553355220532,1401,0.1168197801359735,0.05140835643556291
土豆,price,soil_moisture_7_28,土壤水分 7–28cm,14,0.18865673159226928,0.08637863380664712,0.01935460933124092,0.3579588538532976,0.028957318352887593,1400,0.10446889370694602,0.05140835643556291
土豆,price,soil_moisture_28_100,土壤水分 28–100cm,0,0.2158354063116099,0.07597860449196644,0.06691734150735568,0.36475347111586415,0.004500909281966295,1410,0.02288597939982862,0.004500909281966295
土豆,price,soil_moisture_28_100,土壤水分 28–100cm,1,0.21828263679377963,0.07559569689671956,0.07011507087620927,0.36645020271135,0.00388315593520122,1409,0.020469191266644794,0.004160524216287021
土豆,price,soil_moisture_28_100,土壤水分 28–100cm,2,0.22215506154680342,0.07558474293502725,0.07400896539415003,0.3703011576994568,0.0032911144214176576,1409,0.018353475004558303,0.003797439717020374
土豆,price,soil_moisture_28_100,土壤水分 28–100cm,3,0.22497643887180524,0.07528493422428163,0.07741796779221324,0.37253490995139726,0.0028050392457893087,1409,0.01671877696165813,0.003598708300798494
土豆,price,soil_moisture_28_100,土壤水分 28–100cm,4,0.22467236343256833,0.075330376419884,0.0770248256495957,0.3723199012155409,0.0028591065244002625,1408,0.016922548829585743,0.003598708300798494
