crop,exposure,mode,beta_full,beta_min,beta_max,same_sign,n_loo
粮食,heavy_rain_days,lodo,0.036147552597991406,0.026746662180824332,0.042318815324920434,True,8
粮食,heavy_rain_days,loyo,0.036147552597991406,0.030648072710861285,0.04068749646679909,True,7
谷物,heavy_rain_days,lodo,0.03562691262245443,0.025889947878085184,0.04197223370735226,True,8
谷物,heavy_rain_days,loyo,0.03562691262245443,0.030034457782398383,0.0401460064604891,True,7
豆类,heavy_rain_days,lodo,0.09027938261487728,0.06620116881554572,0.11910766572380382,True,8
豆类,heavy_rain_days,loyo,0.09027938261487728,0.07690044453567185,0.11860013996603835,True,7
大豆,heavy_rain_days,lodo,0.08924257153912474,0.06436562915027955,0.11775413135608515,True,8
大豆,heavy_rain_days,loyo,0.08924257153912474,0.07790292032875948,0.11682188870135207,True,7
