crop,month,n,price_median,price_p10,price_p90,volume_median
韭菜,9,115,2.35,1.82,3.05,83.0
韭菜,10,97,2.83,2.218,3.388,83.0
韭菜,11,105,3.2,2.43,5.38,87.0
韭菜,12,109,3.88,3.42,4.53,87.0
黄瓜,1,123,2.95,2.234,4.646,103.0
黄瓜,2,105,3.3,2.17,4.2,100.0
黄瓜,3,132,2.49,2.1,3.6220000000000003,102.0
黄瓜,4,123,1.8,1.5,2.25,102.0
黄瓜,5,119,1.4,1.2,1.654,104.0
黄瓜,6,122,1.28,1.1,1.5980000000000003,105.0
黄瓜,7,130,1.65,1.18,2.6680000000000015,104.0
黄瓜,8,130,2.115,1.28,3.397000000000001,105.0
黄瓜,9,115,1.95,1.288,2.6180000000000003,102.0
黄瓜,10,97,1.95,1.642,4.218000000000001,103.0
黄瓜,11,105,3.08,1.912,4.2,102.0
黄瓜,12,109,3.0,2.374,4.534,102.0
