scope,response,crop,hazard,hazard_label,window_days,beta_hazard,p_hazard,beta_interaction,p_interaction,n,r2,slope_in_window,slope_out_window,fdr_p_interaction,sig_fdr05
all,price,甘蓝,soil_z,土壤水分异常,445,0.09226990868297985,0.4474286934760622,-0.1525904785649084,0.39495292685085404,1410,0.003941017188782481,-0.06277233938765284,0.09178685483324742,0.9735980763328868,False
all,price,甘蓝,temp_max,日最高气温,445,0.04001302929922313,0.7947614369914531,-0.14684784332987527,0.731498788460137,1410,0.0024973314866444385,-0.10334605343033007,0.035214818082882994,0.9950342515612569,False
all,price,甘蓝,vpd,饱和水汽压差VPD,445,-0.00970000503233141,0.9532108868373772,-0.03511640254040843,0.8895438809014855,1410,0.0014015234519190178,-0.043184240075068846,-0.01417545182602357,0.9950342515612569,False
all,price,甘蓝,wind,风速,445,0.15124677995807634,0.07324457052387055,-0.013941451599191333,0.9144136035565908,1410,0.01157497263339935,0.13811981215877714,0.1521090873357519,0.9950342515612569,False
all,price,芸豆,precip_3d,3日累计降水,374,0.04812131290458284,0.7350251046368447,-0.09220827544304712,0.5426476815524974,1410,0.014983406815711864,-0.04340244173650463,0.042179612664604585,0.9950342515612569,False
all,price,芸豆,soil_z,土壤水分异常,374,0.050939025605650445,0.6799779300154749,-0.05716127060973397,0.6888599336694186,1410,0.01479843037396511,-0.006920086737123957,0.04447988365491313,0.9950342515612569,False
all,price,芸豆,temp_max,日最高气温,374,-0.03533249207272129,0.7027982093602629,-0.6739495700235049,0.19581418172954068,1410,0.021413409518178383,-0.7476063679986596,-0.03662178991588056,0.9362359353377184,False
all,price,芸豆,vpd,饱和水汽压差VPD,374,-0.030475837491364073,0.7024563716249572,-0.17876853303379636,0.19427527802448608,1410,0.01801536033106388,-0.21852016469318705,-0.028358610999752534,0.9362359353377184,False
all,price,芸豆,wind,风速,374,0.19062806705937496,0.011884449472105143,-0.277039464706884,0.012320255657126931,1410,0.03507294439120823,-0.08136813719030224,0.19193051849809556,0.5544115045707119,False
all,price,芹菜,precip_3d,3日累计降水,488,0.0446593427501393,0.44067821871740176,-0.11947663028366856,0.34740599081039225,1410,0.010398145569685546,-0.08729915905512692,0.04372481837107329,0.9735980763328868,False
all,price,芹菜,soil_z,土壤水分异常,488,0.20706549604865093,0.03617024348827295,-0.3165044460972428,0.031173503697473577,1410,0.025248265356031085,-0.11495071865862626,0.20576896053629065,0.5611230665545244,False
all,price,芹菜,temp_max,日最高气温,488,0.07722087912778187,0.4818416851330325,0.020005231820731564,0.9525984793303344,1410,0.01245544907027285,0.10499092108077004,0.06647268987102403,0.9950342515612569,False
all,price,芹菜,vpd,饱和水汽压差VPD,488,0.009022316256967892,0.9396341112468226,0.00786578213100236,0.968660050483145,1410,0.008758366582794053,0.020485292681962326,-0.0017627385584751416,0.9950342515612569,False
all,price,芹菜,wind,风速,488,0.04526098052835958,0.5686964257610392,-0.04444925400310468,0.7049948971686002,1410,0.009460441987756307,0.001832441939371747,0.048045989038279384,0.9950342515612569,False
all,price,茄子,precip_3d,3日累计降水,285,0.023340886643199363,0.6506430081718679,0.0882596733854211,0.290469266204041,1410,0.003571999856854746,0.10732534502030505,0.022239397470034252,0.9735980763328868,False
all,price,茄子,soil_z,土壤水分异常,285,0.2541698495859957,0.048147890046978475,-0.1729398579684926,0.2108460801312172,1410,0.03739146515823555,0.0787317811883478,0.2527379044242136,0.9362359353377184,False
all,price,茄子,temp_max,日最高气温,285,-0.008320614257972557,0.9390084827400429,-0.018427019256875267,0.9335179492148528,1410,0.0019163514847971852,-0.031591286547634385,-0.011309190120675472,0.9950342515612569,False
