group,response,n_clusters,pre_mean,post_mean,post_ci_low,post_ci_high,trough_offset,trough_z,placebo_p
rain,price,8,8.6188366385374e-18,0.016851041269780386,-0.404811299816591,0.45109252883185447,2,-0.2023208903929544,0.9421157684630739
rain,volume,8,1.460819769243627e-17,0.07457463456891478,-0.07857333532248424,0.3398892372156934,6,-0.17984846692010364,0.7085828343313373
heat,price,1,1.2335811384723962e-18,0.0767676916599838,0.0767676916599838,0.0767676916599838,11,0.022833382493263877,
heat,volume,1,8.635067969306773e-18,0.09937770617207643,0.09937770617207643,0.09937770617207643,10,-0.13849460879453232,
