date,precipitation,precip_3d,precipitation_pct,clim_precipitation_mean,clim_precipitation_std,temp_max,temp_min,temp_anomaly,vpd,humidity,clim_z
2026-07-01,5.3,7.0,0.7568027210884353,5.27,11.107007728891483,29.3,21.4,0.7133333333333347,1.97,77,0.0027009974902569324
2026-07-02,1.8,8.8,0.6390696016397825,5.296666666666667,10.407274754521087,27.8,21.1,0.2566666666666677,1.62,77,-0.33598293012756864
2026-07-03,9.6,16.7,0.8463821892393321,3.14,6.966352630000669,29.2,22.3,0.8966666666666647,1.4,80,0.9273145278606688
2026-07-04,32.5,43.9,0.9658989559834216,8.836666666666668,20.043340683307427,28.6,22.0,0.403333333333336,1.3,84,1.180608248256775
2026-07-05,6.4,48.5,0.7858402620307382,3.6199999999999997,10.832944643778644,29.3,22.3,0.19666666666666544,1.67,80,0.2566245920583148
2026-07-06,9.6,48.5,0.846553230864134,3.5233333333333334,6.750411651985703,26.1,20.9,-1.966666666666665,0.9,90,0.9001920149386966
2026-07-07,11.1,27.1,0.8538803276412605,4.680000000000001,7.801741626956964,28.8,21.1,-0.46333333333333115,1.39,84,0.8228931829551105
2026-07-08,3.4,24.1,0.6907854050711193,5.376666666666667,7.770753450946845,26.9,21.2,-0.14333333333333087,1.1,82,-0.2543725880822812
2026-07-09,15.3,29.8,0.8666335835245952,6.016666666666667,14.872378548105909,28.5,21.5,0.3066666666666684,1.08,85,0.6241996398427894
2026-07-10,7.6,26.300000000000004,0.7645138055222088,2.7733333333333334,5.109756275538228,28.5,22.7,0.8166666666666664,1.04,86,0.9445982168999356
2026-07-11,25.7,48.599999999999994,0.9436152050996913,5.4399999999999995,12.451661016465454,27.9,23.7,0.5633333333333326,0.95,90,1.627092158484654
2026-07-12,0.6,33.9,0.520408163265306,7.426666666666667,10.888302275230128,30.5,24.6,2.546666666666667,1.45,79,-0.6269725522037257
2026-07-13,173.9,200.2,1.0,5.319999999999999,7.956363750981414,28.8,23.3,0.32333333333333414,0.76,94,21.188070992757936
2026-07-14,46.6,221.10000000000002,0.9731874356118904,11.51,16.746947225668038,24.9,22.0,-0.7433333333333323,0.76,91,2.095307253743391
2026-07-15,0.0,220.5,0.36734693877551017,6.056666666666667,12.64375771657312,30.0,20.9,0.586666666666666,1.67,81,-0.47902425864486
2026-07-16,0.0,46.6,0.3469387755102041,7.34,19.319645174152974,30.3,21.9,1.4333333333333336,2.64,67,-0.37992416184847483
2026-07-17,0.0,0.0,0.3469387755102041,1.85,3.398757379416473,29.4,22.1,1.5299999999999976,1.26,80,-0.5443165820555345
2026-07-18,1.1,1.1,0.5345561537498434,4.489999999999999,10.085884639708965,30.8,22.4,1.1233333333333348,1.81,81,-0.3361133030069854
2026-07-19,61.6,62.7,0.9891037001762457,6.739999999999999,12.9336129842974,24.4,20.5,-2.5066666666666677,0.64,92,4.241660862019383
2026-07-20,2.6,65.3,0.6433430515063168,6.286666666666666,10.800661963536065,29.0,20.7,-0.4933333333333323,1.65,81,-0.3413371031435999
2026-07-21,0.0,64.2,0.37755102040816324,7.6866666666666665,12.57158079471953,29.8,21.3,0.836666666666666,1.74,77,-0.6114319903106629
2026-07-22,0.0,2.6,0.36734693877551017,7.623333333333333,15.142898263413512,30.2,22.8,1.879999999999999,1.77,74,-0.5034263058975925
2026-07-23,1.3,1.3,0.5656307977736549,4.340000000000001,10.976985328247082,31.0,23.2,2.253333333333334,2.01,75,-0.27694306852876693
2026-07-24,2.7,4.0,0.6275510204081632,3.43,9.089218698640943,31.3,23.1,1.0166666666666657,1.86,81,-0.08031493401178173
2026-07-25,1.5,5.5,0.564625850340136,6.02,14.789264512733087,32.0,23.7,2.370000000000001,2.31,75,-0.30562709836641455
2026-07-26,3.6,7.800000000000001,0.6581632653061223,6.456666666666667,11.488455474753874,32.1,24.1,2.1933333333333316,2.17,77,-0.24865541525092325
2026-07-27,0.2,5.3,0.4183673469387755,6.04,10.332659970644807,32.3,25.0,2.8599999999999994,2.27,73,-0.5651981209670598
2026-07-28,0.0,3.8000000000000003,0.336734693877551,10.333333333333334,17.965125858908888,34.4,25.1,4.356666666666669,2.53,70,-0.5751884742966632
2026-07-29,0.0,0.2,0.32653061224489793,7.893333333333333,18.8027498600298,35.3,26.2,5.003333333333334,2.74,68,-0.4197967527139577
2026-07-30,0.0,0.0,0.336734693877551,14.59,26.80773627402976,35.5,27.2,5.520000000000003,2.99,67,-0.5442458792812803
2026-07-31,0.0,0.0,0.336734693877551,5.84,13.371343522107527,35.3,27.8,5.946666666666665,2.9,67,-0.4367549147431916
