crop,district,area_2018,area_2024,area_chg_pct,prod_2018,prod_2024,prod_chg_pct
瓜果,沈北新区,67.0,68.0,1.4925373134328401,3770.0,3119.0,-17.267904509283817
瓜果,法库县,278.0,299.0,7.5539568345323715,13024.0,15624.0,19.963144963144973
瓜果,浑南区,45.0,80.0,77.77777777777777,943.0,1936.0,105.30222693531282
瓜果,苏家屯区,413.0,338.0,-18.159806295399516,15286.0,16012.0,4.749443935627373
瓜果,辽中区,1562.0,209.0,-86.61971830985915,52418.0,8751.0,-83.30535312297303
甜瓜,于洪区,48.0,20.0,-58.33333333333333,2191.0,701.0,-68.00547695116386
甜瓜,康平县,299.0,143.0,-52.17391304347826,14297.0,4836.0,-66.17472196964398
甜瓜,新民市,244.0,84.0,-65.57377049180329,7775.0,1936.0,-75.09967845659165
甜瓜,沈北新区,56.0,36.0,-35.71428571428571,997.0,1486.0,49.04714142427282
甜瓜,法库县,271.0,245.0,-9.594095940959413,12643.0,12505.0,-1.0915130902475645
甜瓜,浑南区,32.0,63.0,96.875,877.0,1799.0,105.13112884834666
甜瓜,苏家屯区,350.0,245.0,-30.000000000000004,11193.0,11024.0,-1.5098722415795574
甜瓜,辽中区,1529.0,162.0,-89.404839764552,50183.0,6833.0,-86.38383516330231
