target,feature_set,feature,is_weather,mean_abs_shap,share_of_total,causal_claim_allowed,rank
price,F_lag,price_anomaly_z_hist_lag1,False,0.43888515301866093,0.5038651913726562,False,1
price,F_lag,price_anomaly_z_hist_lag2,False,0.12462504922882939,0.1430766656096951,False,2
price,F_lag,log_price_lag1,False,0.04528231598372843,0.05198668182782727,False,3
price,F_lag,precip_7d_lag1d,True,0.018276010481228303,0.020981902566800263,False,4
price,F_lag,temp_max_lag3d,True,0.013517752864233954,0.015519151393065945,False,5
price,F_lag,crop_甘蓝,False,0.013380201872229413,0.015361235007803944,False,6
price,F_lag,log_volume_lag1,False,0.012792914929402177,0.014686996096318768,False,7
price,F_lag,soil_moisture_0_7_lag1d,True,0.011497919770611327,0.013200267782492505,False,8
price,F_lag,crop_芸豆,False,0.0113016911983095,0.012974986187853008,False,9
price,F_lag,temp_max_lag14d,True,0.009683250289181322,0.01111692370204244,False,10
price,F_lag,vpd_lag14d,True,0.009605203602769367,0.01102732165395655,False,11
price,F_lag,precip_7d_lag3d,True,0.009248123248205859,0.010617373037672627,False,12
price,F_lag,precip_7d_lag14d,True,0.00923848699681402,0.010606310071385733,False,13
price,F_lag,temp_anomaly_lag1d,True,0.008848429888675359,0.010158502260875918,False,14
price,F_lag,precip_3d_lag1d,True,0.008789897957775971,0.010091304265315614,False,15
price,F_lag,precipitation_lag3d,True,0.00832381701449642,0.009556216755370356,False,16
price,F_lag,precipitation_lag1d,True,0.008118250159977131,0.009320214280053465,False,17
price,F_lag,temp_max_lag1d,True,0.007757780853873272,0.00890637495408231,False,18
price,F_lag,soil_moisture_0_7_lag3d,True,0.007748639306693401,0.008895879936450597,False,19
price,F_lag,temp_max_lag7d,True,0.0075808614179853065,0.008703261349513778,False,20
price,F_lag,vpd_lag3d,True,0.006683769217319613,0.007673348329539466,False,21
price,F_lag,soil_moisture_0_7_lag14d,True,0.006681463133823247,0.007670700814137713,False,22
price,F_lag,precip_3d_lag3d,True,0.006451388520479839,0.007406562033673346,False,23
price,F_lag,vpd_lag1d,True,0.006082168264859036,0.006982676118468722,False,24
price,F_lag,soil_moisture_0_7_lag7d,True,0.005252890328339268,0.006030617742121941,False,25
price,F_lag,volume_anomaly_z_hist_lag2,False,0.005124445981554468,0.005883156305050482,False,26
price,F_lag,precip_7d_lag7d,True,0.004990235440211868,0.005729074947700621,False,27
price,F_lag,crop_芹菜,False,0.004184354279561129,0.004803877404694107,False,28
price,F_lag,year_t,False,0.0040954068797153164,0.004701760715767278,False,29
price,F_lag,precip_3d_lag14d,True,0.0037209413464413827,0.004271852922605927,False,30
price,F_lag,m11,False,0.0034656068589283794,0.003978714365673908,False,31
price,F_lag,m3,False,0.00331822146116327,0.00380950752160622,False,32
price,F_lag,m10,False,0.0031679282454116333,0.0036369623366168105,False,33
price,F_lag,vpd_lag7d,True,0.0028233984429907773,0.0032414224701247055,False,34
price,F_lag,volume_anomaly_z_hist_lag1,False,0.0027029049328956864,0.00310308904711952,False,35
