crop,model,hazard_key,hazard_label,window,effect,se,t,p_value,n,r2,fdr_p,ci_low,ci_high
土豆,per-crop HAC,precip_3d,3日累计降水,lag0-2,-0.05855020661387809,0.0404542201835799,-1.4473201151370414,0.1478072879056931,1409,0.46006991744535464,0.39947915650187327,-0.13784047817369469,0.020740064945938518
土豆,per-crop HAC,precip_3d,3日累计降水,lag3-14,-0.17275321750069386,0.09147583048351689,-1.8885121521998363,0.05895722806024716,1409,0.46006991744535464,0.39947915650187327,-0.35204584524838695,0.006539410246999222
土豆,per-crop HAC,temp_max,日最高气温,lag0-2,0.20251559213164072,0.13930123174312228,1.4537961337275793,0.14600283572077927,1409,0.46006991744535464,0.39947915650187327,-0.07051482208487897,0.4755460063481604
土豆,per-crop HAC,temp_max,日最高气温,lag3-14,0.1211722720802164,0.26357281078798744,0.45972978668761433,0.6457101864215318,1409,0.46006991744535464,0.8083241367919317,-0.39543043706423897,0.6377749812246718
土豆,per-crop HAC,vpd,饱和水汽压差VPD,lag0-2,-0.09310804357924646,0.133391227625389,-0.6980072470787034,0.4851726618874578,1409,0.46006991744535464,0.7351100937688755,-0.3545548497250089,0.16833876256651598
土豆,per-crop HAC,vpd,饱和水汽压差VPD,lag3-14,-0.13530701451201022,0.24323978078917904,-0.5562700890167452,0.5780262315435498,1409,0.46006991744535464,0.7941046257113443,-0.6120569848588011,0.3414429558347807
土豆,per-crop HAC,soil_z,土壤水分异常,lag0-2,0.04761934901087172,0.07833087679410419,0.6079256477115794,0.543236788175637,1409,0.46006991744535464,0.7941046257113443,-0.1059091695055725,0.20114786752731595
土豆,per-crop HAC,soil_z,土壤水分异常,lag3-14,0.09983057721942569,0.09899531394126239,1.0084374021851064,0.31324452485604637,1409,0.46006991744535464,0.629591638043568,-0.0942002381054486,0.2938613925443
土豆,per-crop HAC,wind,风速,lag0-2,-0.07622384069456634,0.051522168252219704,-1.479437750395577,0.13902335699943097,1409,0.46006991744535464,0.39947915650187327,-0.17720729046891695,0.02475960907978428
土豆,per-crop HAC,wind,风速,lag3-14,-0.2562892234463492,0.11739710542897064,-2.1830966147748265,0.02902869583126134,1409,0.46006991744535464,0.3314133037191861,-0.48638755008713164,-0.026190896805566743
尖椒,per-crop HAC,precip_3d,3日累计降水,lag0-2,-0.07714527177124915,0.1097602076664667,-0.7028528226338089,0.48214747441463535,1409,0.18762097111540965,0.7351100937688755,-0.29227527879752385,0.13798473525502558
尖椒,per-crop HAC,precip_3d,3日累计降水,lag3-14,-0.12002146425126102,0.23085859203359838,-0.5198916929797159,0.6031390655908605,1409,0.18762097111540965,0.7941046257113443,-0.5725043046371138,0.33246137613459176
尖椒,per-crop HAC,temp_max,日最高气温,lag0-2,0.8130832914639503,0.45234503924895575,1.7974847094906599,0.07225870341902367,1409,0.18762097111540965,0.39947915650187327,-0.07351298546400298,1.6996795683919035
尖椒,per-crop HAC,temp_max,日最高气温,lag3-14,-0.8905016557968575,0.47258291380756773,-1.8843289289114316,0.05952049667916374,1409,0.18762097111540965,0.39947915650187327,-1.81676416685969,0.03576085526597528
尖椒,per-crop HAC,vpd,饱和水汽压差VPD,lag0-2,0.14664964445882941,0.19020071937018895,0.7710257087587782,0.4406916933242049,1409,0.18762097111540965,0.7107930537487175,-0.22614376550674095,0.5194430544243998
尖椒,per-crop HAC,vpd,饱和水汽压差VPD,lag3-14,0.6319568712526967,0.4141052484154723,1.5260779081424576,0.1269904631638267,1409,0.18762097111540965,0.39947915650187327,-0.179689415641629,1.4436031581470226
尖椒,per-crop HAC,soil_z,土壤水分异常,lag0-2,0.3364676910690004,0.14591949545096572,2.3058446716056924,0.021119313114809805,1409,0.18762097111540965,0.30170447306871145,0.050465479985107586,0.6224699021528932
尖椒,per-crop HAC,soil_z,土壤水分异常,lag3-14,0.3448912201151402,0.20090282090979647,1.7167067070202722,0.08603277407457874,1409,0.18762097111540965,0.39947915650187327,-0.04887830886806088,0.7386607490983412
尖椒,per-crop HAC,wind,风速,lag0-2,-0.13326321783915485,0.15086107594722062,-0.8833505727201465,0.3770468873576035,1409,0.18762097111540965,0.6500808402717302,-0.4289509266957073,0.1624244910173976
尖椒,per-crop HAC,wind,风速,lag3-14,-0.12305526911400054,0.2695790670316903,-0.45647190068928756,0.6480506724790518,1409,0.18762097111540965,0.8083241367919317,-0.6514302404961135,0.4053197022681124
甘蓝,per-crop HAC,precip_3d,3日累计降水,lag0-2,-0.006999393875484979,0.055620749869026126,-0.12584141515472044,0.8998574577905502,1409,0.43679826092816487,0.9276881008150001,-0.11601606361877619,0.10201727586780622
甘蓝,per-crop HAC,precip_3d,3日累计降水,lag3-14,0.13687443745513295,0.13975488048665902,0.9793893206341295,0.3273876517826554,1409,0.43679826092816487,0.629591638043568,-0.13704512829871873,0.4107940032089846
甘蓝,per-crop HAC,temp_max,日最高气温,lag0-2,0.5362676690732349,0.21886295409979678,2.45024413235649,0.014275938486593186,1409,0.43679826092816487,0.2690296091207512,0.10729627903763317,0.9652390591088366
甘蓝,per-crop HAC,temp_max,日最高气温,lag3-14,-0.34361932493959657,0.3480536538022661,-0.9872596399600254,0.32351537100410965,1409,0.43679826092816487,0.629591638043568,-1.0258044863920381,0.338565836512845
