method,crop,response,metric,hazard_key,hazard_label,hazard_unit,lag_day,effect,se,t,p_value,n,r2,pearson_r,spearman_r,hazard_sd,effect_per_unit,fdr_p,fdr_p_within,ci_low,ci_high
hist,土豆,price,z,precip_1d,当日降水,mm,0,-0.027148744975794833,0.03796298083313304,-0.7151373358990861,0.47452418549023256,1410,0.0008939948421831101,-0.024683338018915382,-0.06154180089488779,8.148008274397107,-0.0033319486261571872,0.9993687142937572,0.9633718291602568,-0.1015561874087356,0.04725869745714592
hist,土豆,price,z,precip_1d,当日降水,mm,1,-0.030170950098582727,0.035110075157766575,-0.8593245660400906,0.39016147448090543,1409,0.0010962445035259671,-0.028576582822119903,-0.07645257796343514,8.148008274397107,-0.003702861985718241,0.9993687142937572,0.9633718291602568,-0.09898669740780522,0.038644797210639764
hist,土豆,price,z,precip_1d,当日降水,mm,2,-0.021320991798834236,0.030700579699118245,-0.6944817331721784,0.48738015249838496,1409,0.0006850719251445536,-0.019642291447704217,-0.07164202389713044,8.148008274397107,-0.0026167120946390832,0.9993687142937572,0.9633718291602568,-0.08149412800910599,0.03885214441143753
hist,土豆,price,z,precip_1d,当日降水,mm,3,-0.004688996095056117,0.030926785132525364,-0.1516160207070715,0.8794897967961204,1409,0.00029704246384754107,-0.004021723757700796,-0.056431254904334996,8.148008274397107,-0.0005754775814096812,0.9993687142937572,0.9633718291602568,-0.06530549495480584,0.0559275027646936
hist,土豆,price,z,precip_1d,当日降水,mm,4,-0.003883767346117487,0.0284526495758972,-0.1364993209422402,0.8914265613360258,1408,0.0002910498523761573,-0.0031715007857227254,-0.05690944405797473,8.148008274397107,-0.0004766523566650228,0.9993687142937572,0.9633718291602568,-0.059650960514876,0.05188342582264103
hist,土豆,price,z,precip_1d,当日降水,mm,5,0.006983058206229574,0.037024822554066396,0.18860477173205606,0.8504025926371253,1407,0.0003102349836987539,0.006264013578603472,-0.06107795668444864,8.148008274397107,0.0008570264009392245,0.9993687142937572,0.9633718291602568,-0.06558559399974057,0.07955171041219972
hist,土豆,price,z,precip_1d,当日降水,mm,6,-0.0021431487538641006,0.04666857291303138,-0.04592274029587187,0.9633718291602568,1406,0.0002804043327719885,-0.0012198445805230512,-0.05780915459800364,8.148008274397107,-0.00026302731682273335,0.9993687142937572,0.9633718291602568,-0.0936135516634056,0.08932725415567741
hist,土豆,price,z,precip_1d,当日降水,mm,7,-0.015766302066125948,0.03032512639041094,-0.5199088657751278,0.6031270957889971,1405,0.0004933638282589303,-0.01460829657936186,-0.04509118966323337,8.148008274397107,-0.001934988470209002,0.9993687142937572,0.9633718291602568,-0.0752035497913314,0.043670945659079495
hist,土豆,price,z,precip_1d,当日降水,mm,8,-0.0150256278817246,0.02805326574273402,-0.5356106493810381,0.5922276671828238,1404,0.0004942032189413359,-0.014392503445853895,-0.05123909644960632,8.148008274397107,-0.001844085987116451,0.9993687142937572,0.9633718291602568,-0.07001002873748328,0.03995877297403408
hist,土豆,price,z,precip_1d,当日降水,mm,9,-0.008172723998845857,0.028423190430372388,-0.28753717915187543,0.773701038415149,1404,0.0003428238070689593,-0.0072425726879885854,-0.0672341036567291,8.148008274397107,-0.001003033345526466,0.9993687142937572,0.9633718291602568,-0.06388217724237574,0.04753672924468402
