crop,variable,weather,n_years,years,pearson_r,spearman_r,interpretation_allowed,note
油料,production_ton,season_precip_mm,5,"2021,2022,2023,2024,2025",-0.11326255687252532,-0.3,False,n<8，仅探索性描述，不作统计推断
油料,production_ton,season_temp_mean_c,5,"2021,2022,2023,2024,2025",0.7479933728058986,0.6,False,n<8，仅探索性描述，不作统计推断
油料,production_ton,heat_days,5,"2021,2022,2023,2024,2025",0.18459902634978145,0.0,False,n<8，仅探索性描述，不作统计推断
油料,production_ton,heavy_rain_days,5,"2021,2022,2023,2024,2025",0.37630607901611296,0.41039134083406165,False,n<8，仅探索性描述，不作统计推断
油料,production_ton,soil_moisture_anomaly,5,"2021,2022,2023,2024,2025",-0.8696684358270615,-0.8999999999999998,False,n<8，仅探索性描述，不作统计推断
油料,production_ton,max_3d_precip_mm,5,"2021,2022,2023,2024,2025",0.2778924205858924,0.3,False,n<8，仅探索性描述，不作统计推断
玉米,production_ton,season_precip_mm,5,"2021,2022,2023,2024,2025",-0.6676032600941558,-0.7,False,n<8，仅探索性描述，不作统计推断
玉米,production_ton,season_temp_mean_c,5,"2021,2022,2023,2024,2025",0.8857068047320648,0.8999999999999998,False,n<8，仅探索性描述，不作统计推断
玉米,production_ton,heat_days,5,"2021,2022,2023,2024,2025",0.5874496787240654,0.7071067811865475,False,n<8，仅探索性描述，不作统计推断
玉米,production_ton,heavy_rain_days,5,"2021,2022,2023,2024,2025",-0.3785819966232042,-0.5642880936468347,False,n<8，仅探索性描述，不作统计推断
玉米,production_ton,soil_moisture_anomaly,5,"2021,2022,2023,2024,2025",-0.7302056266148591,-0.49999999999999994,False,n<8，仅探索性描述，不作统计推断
玉米,production_ton,max_3d_precip_mm,5,"2021,2022,2023,2024,2025",-0.36918875008647073,-0.49999999999999994,False,n<8，仅探索性描述，不作统计推断
玉米,yield_kg_per_ha,season_precip_mm,5,"2021,2022,2023,2024,2025",-0.8914278009381443,-0.6,False,n<8，仅探索性描述，不作统计推断
玉米,yield_kg_per_ha,season_temp_mean_c,5,"2021,2022,2023,2024,2025",0.6077150875970392,0.7,False,n<8，仅探索性描述，不作统计推断
玉米,yield_kg_per_ha,heat_days,5,"2021,2022,2023,2024,2025",0.40758836257968784,0.7071067811865475,False,n<8，仅探索性描述，不作统计推断
玉米,yield_kg_per_ha,heavy_rain_days,5,"2021,2022,2023,2024,2025",-0.7087180905118378,-0.7181848464596079,False,n<8，仅探索性描述，不作统计推断
玉米,yield_kg_per_ha,soil_moisture_anomaly,5,"2021,2022,2023,2024,2025",-0.5763969062491853,-0.19999999999999998,False,n<8，仅探索性描述，不作统计推断
玉米,yield_kg_per_ha,max_3d_precip_mm,5,"2021,2022,2023,2024,2025",-0.6069225753838405,-0.6,False,n<8，仅探索性描述，不作统计推断
粮食,production_ton,season_precip_mm,5,"2021,2022,2023,2024,2025",-0.9246996043431496,-0.7,False,n<8，仅探索性描述，不作统计推断
粮食,production_ton,season_temp_mean_c,5,"2021,2022,2023,2024,2025",0.5652948634422401,0.8999999999999998,False,n<8，仅探索性描述，不作统计推断
粮食,production_ton,heat_days,5,"2021,2022,2023,2024,2025",0.4245333293261246,0.7071067811865475,False,n<8，仅探索性描述，不作统计推断
粮食,production_ton,heavy_rain_days,5,"2021,2022,2023,2024,2025",-0.7787862581844335,-0.5642880936468347,False,n<8，仅探索性描述，不作统计推断
粮食,production_ton,soil_moisture_anomaly,5,"2021,2022,2023,2024,2025",-0.5515300992609105,-0.49999999999999994,False,n<8，仅探索性描述，不作统计推断
粮食,production_ton,max_3d_precip_mm,5,"2021,2022,2023,2024,2025",-0.7144609830400164,-0.49999999999999994,False,n<8，仅探索性描述，不作统计推断
粮食,yield_kg_per_ha,season_precip_mm,5,"2021,2022,2023,2024,2025",-0.9597314152479561,-0.8999999999999998,False,n<8，仅探索性描述，不作统计推断
粮食,yield_kg_per_ha,season_temp_mean_c,5,"2021,2022,2023,2024,2025",0.43513120863916693,0.3,False,n<8，仅探索性描述，不作统计推断
粮食,yield_kg_per_ha,heat_days,5,"2021,2022,2023,2024,2025",0.30464058198432853,0.0,False,n<8，仅探索性描述，不作统计推断
粮食,yield_kg_per_ha,heavy_rain_days,5,"2021,2022,2023,2024,2025",-0.8371222109797319,-0.8720815992723809,False,n<8，仅探索性描述，不作统计推断
粮食,yield_kg_per_ha,soil_moisture_anomaly,5,"2021,2022,2023,2024,2025",-0.49712291018588184,-0.3,False,n<8，仅探索性描述，不作统计推断
粮食,yield_kg_per_ha,max_3d_precip_mm,5,"2021,2022,2023,2024,2025",-0.7367268546533208,-0.8999999999999998,False,n<8，仅探索性描述，不作统计推断
花生,production_ton,season_precip_mm,4,"2021,2022,2023,2024",-0.04971736350275938,-0.39999999999999997,False,n<8，仅探索性描述，不作统计推断
