year,crop,n_days,price_median,volume_median,price_anom_z_mean,volume_anom_z_mean,price_anom_z_sd,volume_anom_z_sd
2021,土豆,246,1.1,247.0,-0.15253727338298625,-1.5125267414971615,0.6510649826600001,0.9515952391399212
2021,尖椒,246,2.115,86.0,0.42942578353343225,0.14074739425392366,1.4494227503876214,1.5087264896929402
2021,甘蓝,246,0.97,124.5,0.9937033187223201,1.5326842867781167,1.6943451748150804,1.8580076376687527
2021,芸豆,246,4.265000000000001,97.0,0.20891543957482855,-0.5302429592486941,1.106377100952417,1.2869700326335416
2021,芹菜,246,1.6,101.0,0.36051178572721143,0.9080606032689222,1.0887857675796895,1.7633648132234965
2021,茄子,246,1.98,87.0,0.34952131096676103,-2.188143504021752,0.9804147688188232,1.2583433051043953
2021,西红柿,246,1.93,86.0,-0.7771337143271092,0.8920094596872045,0.9584904707911139,0.9041105455073429
2021,青椒,246,2.2,71.0,0.24382623014558338,-0.32673502237517993,1.1687599970563962,1.1993375710390255
2021,韭菜,246,1.7,82.0,-0.5821301781266638,-0.6271941513425656,1.31254357865857,2.0135585112047605
2021,黄瓜,246,2.13,93.0,-0.044456853194305174,-2.4484562935471526,1.3687374743844687,2.125418933047019
2022,土豆,244,1.2,310.0,0.8652279004761234,0.31496211600386875,0.7858082601005419,0.7016488865017848
2022,尖椒,244,2.43,91.0,0.1613977981646212,3.0893888229141098,1.77046697925119,3.313154774060134
2022,甘蓝,244,0.95,118.0,0.21844029852970623,1.265681120356005,1.4262421013735376,1.3174701443939478
2022,芸豆,244,4.28,105.325,0.4618725976641736,1.2004829796126877,1.5597510132084542,1.1220151754004375
2022,芹菜,244,1.75,104.0,0.02703096749775934,1.523063713945152,1.3253442740250467,1.918560465749223
2022,茄子,244,2.08,96.0,0.5325119866320007,0.37890347705515126,1.257408849790292,1.8014403082432895
2022,西红柿,244,2.35,87.35,0.5616931502518255,1.471230204801932,1.4554694302327686,1.074879374203648
2022,青椒,244,2.68,71.0,0.40039442352171634,0.42339959560040363,1.4256890537176525,3.076601528433199
2022,韭菜,244,2.83,89.0,0.4166790614598406,1.3954149555610105,1.2022512941122563,2.13864808749467
2022,黄瓜,244,2.215,104.0,0.12001135064657532,0.7114357143962866,1.182058617643728,2.403752970816364
2023,土豆,247,1.33,280.0,1.5648231132053994,-0.5060501183954293,1.1252784688531485,0.5547637883464095
2023,尖椒,247,1.72,84.0,-0.9320291115430518,-0.5192941677211843,0.9972262115040375,1.0100140906316935
2023,甘蓝,247,0.79,113.0,-0.561322931177618,0.8346286754772558,0.9782304308112788,0.830783465742026
2023,芸豆,247,4.03,94.0,0.09590805060820175,-0.4383583107304593,0.8905596992757627,0.8970438665469159
2023,芹菜,247,1.33,98.0,-0.7912479956612951,0.05898380730645529,0.9223690907810274,1.4070584877342356
2023,茄子,247,1.6,99.0,-0.5682171023035271,0.35169550228443924,1.001339965857869,0.8903000166540737
2023,西红柿,247,2.15,77.0,-0.5525069709922088,0.19797805693138928,0.8900926945307152,0.6105527680842363
2023,青椒,247,2.03,72.0,-0.7288778348864824,0.24349025392711096,1.0407773627019328,1.3334347442043246
2023,韭菜,247,2.23,88.0,-0.2780901078757189,0.45125343321258043,0.8783777203692941,1.1781088260931862
2023,黄瓜,247,1.7,105.0,-0.4173357459149154,0.16350256770713012,1.1591892557988142,1.1518067676427106
2024,土豆,248,1.0150000000000001,290.0,-0.31022363755323107,-0.23310099386129726,0.5178104199353945,0.5453496231048893
2024,尖椒,248,2.88,81.0,0.7439629259874839,-0.6237226377955613,1.2921667011794498,0.9559479819777255
2024,甘蓝,248,1.1,106.0,0.5725168598931388,-0.32038311075138276,1.5467060688147931,0.5158951572453399
2024,芸豆,248,4.13,96.0,0.0631693643423378,-0.5079834080108229,1.3801214367364303,0.9231372647231395
2024,芹菜,248,2.15,95.0,1.3240095370224216,-0.12261407959571169,1.5552950136212722,0.4725566812302749
2024,茄子,248,2.13,95.0,0.2907518285579413,0.011461680532580393,0.8002270425375198,0.44776015696302945
2024,西红柿,248,2.68,76.0,0.6120004302977808,-0.3151366815868795,0.8606670330622411,0.5070468837191278
2024,青椒,248,3.0,67.0,0.9241913484351575,-0.47413799355680014,1.1925741943590473,0.9767765498731755
2024,韭菜,248,2.865,82.0,0.09514077868276904,-0.5745410199170595,0.9217809046888791,1.0296608827514762
2024,黄瓜,248,2.35,104.0,0.11173375278980992,0.1254471221002337,1.4314951672529161,0.7633579228589336
2025,土豆,250,1.0,320.0,-0.8036075620049713,0.7303631212979655,0.5678196168665421,0.46591050850082294
2025,尖椒,250,2.4,84.0,-0.1692086111349568,-0.28913170556230045,1.0988191418502997,1.0171443973132859
2025,甘蓝,250,0.855,103.0,-0.11098567949619094,-0.525009023592593,1.342313411409543,0.6140175126386971
2025,芸豆,250,4.08,98.0,-0.0960613792380744,-0.10899770673141779,1.0925722875274233,0.933634962117215
2025,芹菜,250,1.565,93.0,-0.03202144880615137,-0.8784567651423176,0.8722784852436218,1.0412588915472134
2025,茄子,250,1.65,99.0,-0.3033522190745988,0.717927964386888,1.2458645792360576,0.595192671255804
2025,西红柿,250,2.5,71.0,0.23434632433907746,-0.8038002736505367,1.1572643634679993,0.5161725153514504
2025,青椒,250,2.465,69.0,-0.392238188525872,-0.10836818202257295,1.0890589604148548,1.0495949735650107
2025,韭菜,250,2.43,84.0,0.3126988816694929,-0.0704468126564444,1.3476788781870699,1.114671636155883
2025,黄瓜,250,2.13,104.0,0.5671602555455253,0.32072035613112104,1.644779170106183,0.9374043671048329
2026,土豆,175,1.09,320.0,-0.08582091949149805,0.9112048974452861,0.5799388085465474,0.31976811205228134
2026,尖椒,175,2.3,84.0,0.6124376096047481,-0.4740706480892641,0.8561104863184851,0.6329251603130416
2026,甘蓝,175,0.78,101.0,-0.0590982379731874,-0.7648511088413963,0.6427796935112969,0.47395295018110056
2026,芸豆,175,4.08,101.0,-0.16600731753648432,0.44053882176099907,0.6169315873096247,0.6127343189344714
2026,芹菜,175,1.67,96.0,0.3529158793381677,-0.39088345442048394,0.43051567132857865,0.39187231726332095
2026,茄子,175,1.72,96.0,0.09619181287125181,-0.028165548197923745,0.7065433541593774,0.5982435564357859
2026,西红柿,175,2.2,71.0,0.3657238784717538,-0.634571918609613,1.073808593635783,0.35121286714109723
2026,青椒,175,2.2,72.0,0.0463208718975615,0.25951834936051854,0.587573851449497,0.762119075822138
2026,韭菜,175,2.63,84.0,0.7234800883227902,-0.2413713360698387,0.7529813641134685,0.7484676190827316
2026,黄瓜,175,2.43,106.0,0.7148851225858803,0.07323042531460176,1.042966946825951,0.7151192523033933
