target_kind,target,split,n,lag1_autocorr,sd
hist,price,train,9840,0.9637265157449708,1.3272472944716516
hist,price,test,1750,0.9714762955537831,0.8190978471559468
hist,volume,train,9840,0.906175477281416,1.7452148151092703
hist,volume,test,1750,0.8423979394140897,0.7628877697981808
strict,price,train,8090,0.9562269157217801,0.37823707926156247
strict,price,test,1750,0.9519531775822511,0.22152286379313166
strict,volume,train,8090,0.9110551960605419,0.1709804190996852
strict,volume,test,1750,0.9290517677793964,0.08493128308082823
