response,case_post_mean,hist_post_mean,hist_ci_low,hist_ci_high,case_within_hist_ci,placebo_p
price,0.3152741469068272,0.0168510412697803,-0.404811299816591,0.4510925288318544,True,0.2315369261477046
volume,-0.44488451054618605,0.0745746345689147,-0.0785733353224842,0.3398892372156934,False,0.1536926147704591
