response,exposure,label,n_crops,mean_peak_effect,mean_max_abs_effect,median_peak_lag,n_crops_fdr_sig,min_fdr_p,sign_positive,n_lag_fdr_sig_total,raw_sd,unit
price,soil_moisture_0_7,土壤水分 0–7cm,10,0.10221426268612777,0.10221426268612777,8.5,0,0.05675466473495407,10,3,0.09431984949445034,m³/m³
price,soil_moisture_28_100,土壤水分 28–100cm,10,0.20377228218804153,0.20377228218804153,14.0,5,0.008564318666485125,10,68,0.03393809819426358,m³/m³
price,soil_moisture_7_28,土壤水分 7–28cm,10,0.11149795104035454,0.11588227695958656,13.0,0,0.10446889370694602,9,0,0.05391005858176453,m³/m³
volume,soil_moisture_0_7,土壤水分 0–7cm,10,0.09621336089354664,0.16342013163407476,10.0,3,0.012141977169944859,7,41,0.09431984949445034,m³/m³
volume,soil_moisture_28_100,土壤水分 28–100cm,10,0.1993811674825085,0.2218175313337075,12.0,4,0.008564318666485125,9,60,0.03393809819426358,m³/m³
volume,soil_moisture_7_28,土壤水分 7–28cm,10,0.15908705031394793,0.24035846007155523,7.0,3,0.008564318666485125,7,45,0.05391005858176453,m³/m³
