event,hazard,t0,crop,response,post_mean,n_post
8,rain,2026-07-11,尖椒,volume,-0.4063003860656632,10
8,rain,2026-07-11,甘蓝,price,0.30512677214417383,10
8,rain,2026-07-11,甘蓝,volume,-0.22101616850706293,10
8,rain,2026-07-11,芸豆,price,-0.5941942404912866,10
8,rain,2026-07-11,芸豆,volume,-0.2987030506253493,10
8,rain,2026-07-11,芹菜,price,0.043456476074849294,10
8,rain,2026-07-11,芹菜,volume,-0.501050278468328,10
8,rain,2026-07-11,茄子,price,0.22483025315886498,10
8,rain,2026-07-11,茄子,volume,-1.4730396407854929,10
8,rain,2026-07-11,西红柿,price,0.00986500090390941,10
8,rain,2026-07-11,西红柿,volume,0.3733788132816867,10
8,rain,2026-07-11,青椒,price,-0.44644864555831776,10
8,rain,2026-07-11,青椒,volume,0.8033666724480162,10
8,rain,2026-07-11,韭菜,price,1.2143586694086774,10
8,rain,2026-07-11,韭菜,volume,-1.0941738987064764,10
8,rain,2026-07-11,黄瓜,price,2.6488450697075625,10
8,rain,2026-07-11,黄瓜,volume,-1.370661579079224,10
9,rain,2026-08-24,土豆,price,-0.18327072151434737,10
9,rain,2026-08-24,土豆,volume,0.7886808617388608,10
9,rain,2026-08-24,尖椒,price,-0.06019648713608332,10
9,rain,2026-08-24,尖椒,volume,-0.03747170885981088,10
9,rain,2026-08-24,甘蓝,price,-0.23745230245901183,10
9,rain,2026-08-24,甘蓝,volume,-0.19344769698877332,10
9,rain,2026-08-24,芸豆,price,-0.5278157847967645,10
9,rain,2026-08-24,芸豆,volume,-0.5403420417584724,10
9,rain,2026-08-24,芹菜,price,0.128977621895469,10
9,rain,2026-08-24,芹菜,volume,-0.013626075949022137,10
9,rain,2026-08-24,茄子,price,-0.24052153124391099,10
9,rain,2026-08-24,茄子,volume,-0.5246039240373518,10
9,rain,2026-08-24,西红柿,price,-0.30325318670118373,10
9,rain,2026-08-24,西红柿,volume,-0.21171515505793126,10
9,rain,2026-08-24,青椒,price,0.35748010252259543,10
9,rain,2026-08-24,青椒,volume,-0.6192199889083743,10
9,rain,2026-08-24,韭菜,price,-0.5303852734042943,10
9,rain,2026-08-24,韭菜,volume,1.0158996624215384,10
9,rain,2026-08-24,黄瓜,price,-1.6201487389216265,10
9,rain,2026-08-24,黄瓜,volume,0.5096152404934274,10
