target,feature_set,feature,z_value,original_value,ale,mean_abs_shap
price,F_lag,precip_7d_lag1d,-0.6633885445231775,0.44000000000001194,-0.010784930511123003,0.018276010481228303
price,F_lag,precip_7d_lag1d,-0.6223278638881491,1.4900000000000215,-0.009450900269138024,0.018276010481228303
price,F_lag,precip_7d_lag1d,-0.5847866701646949,2.4500000000000206,-0.0077513764688639086,0.018276010481228303
price,F_lag,precip_7d_lag1d,-0.5652339651003955,2.9500000000000295,-0.008477965391955411,0.018276010481228303
price,F_lag,precip_7d_lag1d,-0.5355138534026611,3.710000000000022,0.02537750330694423,0.018276010481228303
price,F_lag,precip_7d_lag1d,-0.4964084432740632,4.710000000000017,0.025454021183228384,0.018276010481228303
price,F_lag,precip_7d_lag1d,-0.40294651306671336,7.100000000000023,0.024081388160585318,0.018276010481228303
price,F_lag,precip_7d_lag1d,-0.25239068407161047,10.950000000000022,0.024232047766246642,0.018276010481228303
price,F_lag,precip_7d_lag1d,-0.13116391267295646,14.050000000000015,0.02379384813753195,0.018276010481228303
price,F_lag,precip_7d_lag1d,-0.05099782190933021,16.100000000000016,0.02379384813753195,0.018276010481228303
price,F_lag,precip_7d_lag1d,0.06045259695717453,18.950000000000014,0.02379384813753195,0.018276010481228303
price,F_lag,precip_7d_lag1d,0.3165930332994926,25.50000000000002,0.023250924241902532,0.018276010481228303
price,F_lag,precip_7d_lag1d,0.6478158570887232,33.97000000000013,0.020594124260995307,0.018276010481228303
price,F_lag,precip_7d_lag1d,0.9938987367268171,42.82000000000013,0.020554590770818733,0.018276010481228303
price,F_lag,precip_7d_lag1d,1.528860747286036,56.50000000000003,0.017994863653201645,0.018276010481228303
price,F_lag,precip_7d_lag1d,2.314879490870859,76.60000000000002,0.017994863653201645,0.018276010481228303
price,F_lag,precip_7d_lag1d,6.575413924381628,185.55,0.048168398010476864,0.018276010481228303
price,F_lag,temp_max_lag3d,-2.2510286559856993,-14.250000000000002,-0.0027563884357120834,0.013517752864233954
price,F_lag,temp_max_lag3d,-1.8181621320702188,-8.700000000000001,0.04942902113689898,0.013517752864233954
price,F_lag,temp_max_lag3d,-1.455490179600492,-4.049999999999999,0.020329370958881533,0.013517752864233954
price,F_lag,temp_max_lag3d,-1.1216759953917972,0.23000000000000043,0.02559993932995933,0.013517752864233954
price,F_lag,temp_max_lag3d,-0.8174995191268649,4.130000000000001,0.02308092263995435,0.013517752864233954
price,F_lag,temp_max_lag3d,-0.49616436984185974,8.25,0.005993344484705471,0.013517752864233954
price,F_lag,temp_max_lag3d,-0.1958875919905806,12.100000000000001,0.01607572771972418,0.013517752864233954
price,F_lag,temp_max_lag3d,0.0466736493386347,15.210000000000003,0.03240524057639185,0.013517752864233954
price,F_lag,temp_max_lag3d,0.2533576652622424,17.860000000000003,0.05705923102060539,0.013517752864233954
price,F_lag,temp_max_lag3d,0.4943590272259961,20.95,0.052634106760696214,0.013517752864233954
