crop,response,n_extreme_obs,n_normal_obs,mean_z_extreme,mean_z_normal,diff,ci_low,ci_high,mean_absz_extreme,mean_absz_normal,p_value,fdr_p
土豆,price,19,1391,0.11460894031480202,0.19056014668170787,-0.07595120636690585,-0.4864220641418597,0.334519651408048,0.758344360770878,0.8444520378804643,0.7168534174653616,0.8433569617239547
土豆,volume,19,1391,0.3273398285104183,-0.10223009862610492,0.42956992713652326,0.09966703044198605,0.7594728238310604,0.6839734041688932,0.8218037110969107,0.010706471948184415,0.053532359740922075
尖椒,price,19,1391,0.15877398109629956,0.11586566775802741,0.04290831333827215,-0.26540183309002774,0.35121845976657207,0.47961786836332676,1.0456056665972655,0.7850236998164213,0.8722485553515793
尖椒,volume,19,1391,-0.047332684875550514,0.25243701609167174,-0.2997697009672223,-1.3310444204553968,0.7315050185209524,1.2543161492020893,1.164688596845543,0.5688605314955613,0.7110756643694516
甘蓝,price,19,1391,0.08045186478075766,0.18797316286799126,-0.1075212980872336,-0.4504172815546432,0.23537468538017603,0.46380215551082016,1.0710252482280935,0.538823012316219,0.7110756643694516
甘蓝,volume,19,1391,-0.37207023511311144,0.39865775256116304,-0.7707279876742745,-0.9360489030086122,-0.6054070723399368,0.4329265442388192,1.030853567096414,0.0,0.0
芸豆,price,19,1391,0.11925959947526127,0.10647939975137201,0.01278019972388926,-0.25096724329157044,0.276527642739349,0.3777299455273201,0.8849686285530776,0.9243353526434814,0.9285636694492684
芸豆,volume,19,1391,0.25914644969363926,-0.019306415748130256,0.2784528654417695,-0.1790837031489796,0.7359894340325186,0.792428032624842,0.8552482487512008,0.23293230164938872,0.4235132757261613
芹菜,price,19,1391,0.04553824264125805,0.2020756690755037,-0.15653742643424565,-0.6171817660396651,0.3041069131711738,0.5854544912044036,0.9544311827394205,0.505377486037093,0.7110756643694516
芹菜,volume,19,1391,-0.2869544020580252,0.2132311294763969,-0.5001855315344221,-0.7848926273688398,-0.21547843570000447,0.5413675832641093,1.0796236422378171,0.0005744249062513695,0.00382949937500913
茄子,price,19,1391,-0.24325869844247028,0.06706644443109704,-0.31032514287356733,-0.6522406454797651,0.031590359732630524,0.5614883898414437,0.8483239314475408,0.07525433935620662,0.1808697993989197
茄子,volume,19,1391,0.22754798149375238,-0.13363764143627146,0.3611856229300239,-0.07077407963170412,0.7931453254917519,0.6902119726674032,1.0175019538248806,0.10124129010533323,0.20248258021066645
西红柿,price,19,1391,0.15463950526703898,0.05811303309346023,0.09652647217357876,-0.1075311225463566,0.30058406689351413,0.3880127308180765,0.9213711589138961,0.3538489476086335,0.5897482460143891
西红柿,volume,19,1391,-0.4254902998151506,0.17630865680115174,-0.6017989566163023,-0.9157728844484176,-0.287825028784187,0.7219455932163407,0.8440919075208396,0.0001721246648549446,0.001721246648549446
青椒,price,19,1391,0.06633089975669086,0.08312756254874074,-0.016796662792049874,-0.38401007575029195,0.35041675016619217,0.5886969422822713,0.9469450626115987,0.9285636694492685,0.9285636694492684
青椒,volume,19,1391,0.3845780646138481,-0.016890554604673893,0.40146861921852195,-0.05006772564628198,0.8530049640833259,0.810572228493803,1.0366274828428332,0.08139140972951386,0.1808697993989197
韭菜,price,19,1391,0.5445980214561816,0.07750445514828179,0.46709356630789983,0.037303797648549075,0.8968833349672506,0.8756766428319933,0.8834062994167967,0.03316178283694793,0.11053927612315977
韭菜,volume,19,1391,-0.11044293137628461,0.07002993652804353,-0.18047286790432815,-0.633796301598762,0.27285056579010564,0.7395732011804773,1.0693204039289663,0.4352162005814906,0.6695633855099855
黄瓜,price,19,1391,0.6707851446052375,0.14171421115331773,0.5290709334519198,0.05077463378074748,1.007367233123092,1.0796536324322632,1.0044285806349755,0.030153492819595673,0.11053927612315977
黄瓜,volume,19,1391,0.3106207444958004,-0.19420581889142424,0.5048265633872246,-0.04445734734599838,1.0541104741204477,0.7898641788607498,1.1961535180406802,0.07164558331473625,0.1808697993989197
