crop,response,case_post_mean,hist_post_mean,hist_ci_low,hist_ci_high,case_within_hist_ci
土豆,price,-0.15063626961643933,-0.05776579674714838,-0.33458684684068474,0.272645800746363,True
土豆,volume,-0.680111515805567,-0.010731840710564832,-0.24390526878012184,0.201015730180207,False
尖椒,price,-0.40199649264805065,0.13428820780309186,-0.26328049580341956,0.5149812650172517,False
尖椒,volume,-0.14613966455326224,0.2477405874354334,-0.2969680634176753,0.9687751537063195,True
甘蓝,price,0.36972086075013355,-0.06541192031030685,-0.41556093339775413,0.2825672492291336,False
甘蓝,volume,-0.1161622974654136,0.06541371005670031,-0.2167488402827589,0.4573024202965902,True
芸豆,price,-0.5958001708709921,-0.37744654745420836,-1.230725979614502,0.48788950796030117,True
芸豆,volume,-0.3574801025225954,0.06861047978951341,-0.3140995735719532,0.49786929782487904,False
芹菜,price,0.0878612963002409,0.21130496100209406,-0.5931449362577316,1.119810377081444,True
芹菜,volume,-0.33162462340932597,0.07984925328745225,-0.3232951802310309,0.5517774997845377,False
茄子,price,0.27840682412438184,-0.1034117206862953,-0.6152656327141043,0.3442967632104826,True
茄子,volume,-0.8560844254895248,-0.06700577185070376,-0.22140695004667083,0.13508183674267096,False
西红柿,price,0.044966050631773016,-0.18340661957520243,-0.6869225026829823,0.24604992771032025,True
西红柿,volume,0.14935152531267465,0.051049909295198204,-0.5163156741775168,0.57304223790301,True
青椒,price,-0.449456115178495,0.1818534619043213,-0.17362568764922817,0.46382502069277126,False
青椒,volume,0.8993210126354605,0.10041760576028262,-0.17575957126054034,0.3564989354090294,False
韭菜,price,1.1324344856475466,0.2513463906320294,-0.27834731200746504,0.7277599903373376,False
韭菜,volume,-1.4585862673681373,0.177210367356856,-0.24030817670159035,0.6753225697821827,False
黄瓜,price,2.8372409999281727,0.17715999612942876,-0.8872304493817824,1.2353146147297382,False
黄瓜,volume,-1.551328746796169,0.03319204526897995,-0.7687090318500709,0.7139466199729728,False
