target_kind,target,feature_set,model,rmse_test,r2_test,best_baseline,best_baseline_rmse,beats_baseline,complex_beats_simple,mae_test,n_test
hist,price,F_lag,baseline_mean,0.8943124944905096,-0.19208446327515816,baseline_persistence,0.19660136145322618,False,False,0.6396194859700947,1750
hist,price,F_lag,baseline_seasonal_naive,1.1068720553406843,-0.8260946217450298,baseline_persistence,0.19660136145322618,False,False,0.8236790491187337,1750
hist,price,F_lag,baseline_persistence,0.19660136145322618,0.9423895227469679,baseline_persistence,0.19660136145322618,False,False,0.12122706492123819,1750
hist,price,F_lag,elasticnet,0.19799476160009957,0.9415700073886489,baseline_persistence,0.19660136145322618,False,False,0.1292089307172079,1750
hist,price,F_lag,gam,0.20643205404518633,0.9364840645193445,baseline_persistence,0.19660136145322618,False,False,0.13912789547515533,1750
hist,price,F_lag,lightgbm,0.21333637377639394,0.9321643097116622,baseline_persistence,0.19660136145322618,False,False,0.14453910540535428,1750
hist,price,F_now,baseline_mean,0.8943124944905096,-0.19208446327515816,baseline_persistence,0.19660136145322618,False,False,0.6396194859700947,1750
hist,price,F_now,baseline_seasonal_naive,1.1068720553406843,-0.8260946217450298,baseline_persistence,0.19660136145322618,False,False,0.8236790491187337,1750
hist,price,F_now,baseline_persistence,0.19660136145322618,0.9423895227469679,baseline_persistence,0.19660136145322618,False,False,0.12122706492123819,1750
hist,price,F_now,elasticnet,0.1969611546933035,0.9421784679833171,baseline_persistence,0.19660136145322618,False,False,0.12873175943410106,1750
hist,price,F_now,gam,0.22542870242235086,0.9242562411610044,baseline_persistence,0.19660136145322618,False,False,0.15321647829428203,1750
hist,price,F_now,lightgbm,0.20771281440954983,0.9356934794747336,baseline_persistence,0.19660136145322618,False,False,0.13923494970780592,1750
hist,price,F_wx,baseline_mean,0.8943124944905096,-0.19208446327515816,baseline_persistence,0.19660136145322618,False,False,0.6396194859700947,1750
hist,price,F_wx,baseline_seasonal_naive,1.1068720553406843,-0.8260946217450298,baseline_persistence,0.19660136145322618,False,False,0.8236790491187337,1750
hist,price,F_wx,baseline_persistence,0.19660136145322618,0.9423895227469679,baseline_persistence,0.19660136145322618,False,False,0.12122706492123819,1750
hist,price,F_wx,elasticnet,0.9812415646369087,-0.4350938511840534,baseline_persistence,0.19660136145322618,False,False,0.778456850213141,1750
hist,price,F_wx,gam,1.0169646906002783,-0.5414881116470984,baseline_persistence,0.19660136145322618,False,False,0.7969710678020767,1750
hist,price,F_wx,lightgbm,1.0381167278234715,-0.6062783631216957,baseline_persistence,0.19660136145322618,False,False,0.8561021916391985,1750
hist,volume,F_lag,baseline_mean,1.0960412120494296,-1.0641082202463568,baseline_persistence,0.4282567720719965,False,False,0.9428727273094138,1750
hist,volume,F_lag,baseline_seasonal_naive,1.1869822074301857,-1.4208457205065272,baseline_persistence,0.4282567720719965,False,False,0.9680823744284746,1750
hist,volume,F_lag,baseline_persistence,0.4282567720719965,0.6848718692749114,baseline_persistence,0.4282567720719965,False,False,0.23076717952997075,1750
